"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,154","1,191","2,216","4,561"
"CMCF","1,027","1,068","927","3,022"
"SMCI","702","635","834","2,171"
"County Jails (approved)","731","623","172","1,526"
"County Jails (unapproved)","74","85","26","185"
"Private Prisons","964","1,194","2,603","4,761"
"Regional Correctional Facilities","907","591","1,235","2,733"
"Community Work Centers","1,006","729","4","1,739"
"Community Trusties","6","7","5","18"
"Pending File Review","88","171","44","303"
"TOTAL CUSTODY POPULATION","6,659","6,294","8,066","21,019"
"Intensive Supervison Program","551","923","27","1,501"
"Earned Release Supervision","784","744","352","1,880"
"Medical Release","2","1","2","5"
"Other Custody","105","103","59","267"
"At Large","34","59","14","107"
"Off-Grounds Medical (Hospital)","4","3","4","11"
"TOTAL","8,139","8,127","8,524","24,790"
"% OF TOTAL OFFENSES","32.83%","32.78%","34.38%","100.00%"
