"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGREVATED ASSAULT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","572","577","179","1,486","540","3,354"
"CMCF","771","911","162","1,151","343","3,338"
"SMCI","495","565","193","1,259","555","3,067"
"County Jails (approved)","385","260","12","120","12","789"
"Youthful Offender Facility","0","2","2","17","4","25"
"County Jails (unapproved)","92","134","15","62","19","322"
"Private Prisons","263","349","207","1,656","565","3,040"
"Regional Correctional Facilities","583","698","305","1,427","788","3,801"
"Community Work Centers","456","250","0","91","0","797"
"Community Trusties","19","11","0","3","0","33"
"Pending File Review","30","41","3","9","0","83"
"Court Order","72","95","9","73","12","261"
"Transitional Housing","1","0","0","0","0","1"
"TVC","5","7","0","3","0","15"
"TOTAL CUSTODY POPULATION","3,744","3,900","1,087","7,357","2,838","18,926"
"% OF TOTAL OFFENSES","19.78%","20.61%","5.74%","38.87%","15.00%","100.00%"
"Intensive Supervison Program","286","353","12","64","6","721"
"Earned Release Supervision","106","34","114","295","6","555"
"Medical Release","5","4","0","2","0","11"
"Other Custody","167","213","13","89","25","507"
"At Large","7","14","0","6","0","27"
"Conditional Release","0","0","0","2","0","2"
"RRP","15","35","0","11","0","61"
"FTR- Monitoring","4","0","0","0","0","4"
"Off-Grounds Medical (Hospital)","1","3","1","3","2","10"
"TOTAL","4,335","4,556","1,227","7,829","2,877","20,824"
"% OF TOTAL OFFENSES","20.82%","21.88%","5.89%","37.60%","13.82%","100.00%"
