"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,177","906","2,101","4,184"
"CMCF","1,254","1,157","1,076","3,487"
"SMCI","1,172","844","1,025","3,041"
"County Jails (approved)","752","508","135","1,395"
"County Jails (unapproved)","62","85","25","172"
"Private Prisons","1,014","1,002","2,765","4,781"
"Regional Correctional Facilities","999","558","1,484","3,041"
"Community Work Centers","1,172","577","1","1,750"
"Community Trusties","6","6","5","17"
"Pending File Review","47","24","31","102"
"Court Order","145","138","50","333"
"TOTAL CUSTODY POPULATION","7,800","5,805","8,698","22,303"
"Intensive Supervison Program","496","688","28","1,212"
"Earned Release Supervision","725","611","396","1,732"
"Medical Release","6","3","3","12"
"Other Custody","140","101","82","323"
"At Large","20","37","15","72"
"Off-Grounds Medical (Hospital)","2","4","3","9"
