"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,129","1,603","2,064","4,796"
"CMCF","959","1,187","899","3,045"
"SMCI","670","722","758","2,150"
"County Jails (approved)","781","865","252","1,898"
"County Jails (unapproved)","106","132","36","274"
"Private Prisons","954","1,524","2,100","4,578"
"Regional Correctional Facilities","895","776","1,076","2,747"
"Community Work Centers","956","711","2","1,669"
"Community Trusties","10","3","6","19"
"CUSTODY POPULATION","6,460","7,523","7,193","21,176"
"Intensive Supervison Program","463","811","32","1,306"
"Earned Release Supervision","564","577","221","1,362"
"Medical Release","0","0","0","0"
"Other Custody/At Large","85","113","81","279"
"TOTAL","7,572","9,024","7,527","24,123"
"% of Total Offenses","31.39%","37.41%","31.20%","100.00%"
