"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,398","1,287","3,009","5,694"
"CMCF","1,002","1,136","989","3,127"
"SMCI","696","724","715","2,135"
"County Jails (approved)","802","671","272","1,745"
"County Jails (unapproved)","65","85","34","184"
"Private Prisons","673","967","1,831","3,471"
"Regional Correctional Facilities","865","575","1,153","2,593"
"Community Work Centers","846","668","11","1,525"
"Community Trusties","8","9","5","22"
"CUSTODY POPULATION","6,355","6,122","8,019","20,496"
"Intensive Supervison Program","472","879","39","1,390"
"Earned Release Supervision","521","499","237","1,257"
"Medical Release","0","0","0","0"
"Other Custody","71","83","70","224"
"At Large","54","73","25","152"
"University of MS Medical Center","0","0","2","2"
"TOTAL","7,473","7,656","8,392","23,521"
"% of Total Offenses","31.77%","32.55%","35.68%","100.00%"
