"","","Fact Sheet","","",""
"","","As of April 2, 2018","","",""
"LOCATION","DRUG OFFENSES","NON-VIOLENT OFFENSES","SEX OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","480","411","583","1,927","3,401"
"CMCF","905","889","324","1,344","3,462"
"SMCI","447","398","471","1,341","2,657"
"County Jails (approved)","352","167","9","142","670"
"Youthful Offender Facility","0","4","6","22","32"
"County Jails (unapproved)","127","140","16","74","357"
"Private Prisons","281","301","548","2,037","3,167"
"Regional Correctional Facilities","713","560","880","2,033","4,186"
"Community Work Centers","384","152","0","128","664"
"Community Trusties","5","0","0","1","6"
"Pending File Review","33","43","5","23","104"
"Court Order","78","71","9","77","235"
"Transitional Housing","16","13","1","11","41"
"RRP","42","50","0","14","106"
"TVC","11","5","0","3","19"
"TOTAL CUSTODY POPULATION","3,874","3,204","2,852","9,177","19,107"
"% OF TOTAL OFFENSES","20.28%","16.77%","14.93%","48.03%","100.00%"
"Intensive Supervison Program","303","338","9","75","725"
"Earned Release Supervision","86","40","7","468","601"
"Medical Release","10","2","0","3","15"
"Other Custody","145","158","27","115","445"
"At Large","8","12","0","8","28"
"Conditional Release","0","0","1","2","3"
"FTR- Monitoring","2","3","0","0","59"
"Off-Grounds Medical (Hospital)","2","0","2","5",""
"TOTAL","4,430","3,757","2,898","9,853","20,938"
"% OF TOTAL OFFENSES","21.16%","17.94%","13.84%","47.06%","100.00%"
