"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","605","","546","","","187","","","1,397","","","539","","","","3,274",""
"CMCF","","","654","","835","","","156","","","844","","","264","","","","2,753",""
"SMCI","","","487","","539","","","159","","","1,032","","","479","","","","2,696",""
"County Jails (approved)","","","389","","201","","","11","","","52","","","","","","","661",""
"Youthful Offender Facility","","","0","","1","","","5","","","15","","","","","","","28",""
"County Jails (unapproved)","","","36","","74","","","6","","","25","","","9","","","","150",""
"Private Prisons","","","495","","540","","","272","","","1,920","","","685","","","","3,912",""
"Regional Correctional Facilities","","","688","","703","","","286","","","1,383","","","799","","","","3,859",""
"Community Work Centers","","","659","","290","","","1","","","40","","","0","","","","990",""
"Community Trusties","","","16","","","","","0","","","0","","","0","","","","19",""
"Pending File Review","","","30","","4","","","4","","","8","","","0","","","","86",""
"Court Order","","","67","","63","","","12","","","46","","","10","","","","198",""
"TOTAL CUSTODY POPULATION","","","4,126","","3,839","","","1,099","","","6,762","","","2,800","","","","18,626",""
"% OF TOTAL OFFENSES","","","22.15%","","20.61%","","","5.90%","","","36.30%","","","15.03%","","","","100.00%",""
"Intensive Supervison Program","","","346","","389","","","7","","","53","","","5","","","","800",""
"Earned Release Supervision","","","265","","63","","","149","","","382","","","3","","","","862",""
"Medical Release","","","6","","3","","","0","","","2","","","0 2","","","","11",""
"Other Custody","","","177","","217","","","17","","","87","","","6","","","","524",""
"At Large","","","","","4","","","0","","","6","","","0","","","","26",""
"Off-Grounds Medical (Hospital)","","","","","","","","0","","","5","","","0","","","","7",""
"Conditional Release","","","0","","0","","","0","","","2","","","0","","","","2",""
"TOTAL","","","4,928","","4,525","","","1,272","","","7,299","","","2,834","","","","20,858",""
"% OF TOTAL OFFENSES","","","23.63%","","21.70%","","","6.10%","","","35.00%","","","13.59%","","","","100.00%","6 2
3 4
01
8 7"
