"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","702","621","1,302","433"
"CMCF","819","1,001","897","315"
"SMCI","850","832","1,073","443"
"County Jails (approved)","793","438","29","21"
"County Jails (unapproved)","125","146","46","23"
"Private Prisons","651","1,059","2,637","814"
"Regional Correctional Facilities","767","725","1,313","633"
"Community Work Centers","932","565","5","0"
"Community Trusties","5","0"
"Pending File Review","5 7
0","6 6
0","10","1"
"Court Order","126","124","59","12"
"TOTAL CUSTODY POPULATION","5,840","5,577","7,376","2,695"
"Intensive Supervison Program","822","726","41","7 3"
"Earned Release Supervision","417","499","595"
"Medical Release","16","9","7","0"
"Other Custody","167","137","88","01
7"
