"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,298","1,531","2,480","5,309"
"CMCF","990","1,130","863","2,983"
"SMCI","582","722","707","2,011"
"County Jails (approved)","517","581","221","1,319"
"County Jails (unapproved)","43","65","22","130"
"Private Prisons","771","708","1,737","3,216"
"Regional Correctional Facilities","725","530","732","1,987"
"Community Work Centers","590","641","45","1,276"
"Community Trusties","10","9","5","24"
"CUSTODY POPULATION","5,526","5,917","6,812","18,255"
"Intensive Supervison Program","319","850","34","1,203"
"Earned Release Supervision","343","474","119","936"
"Medical Release","0","1","1","2"
"Other Custody","50","88","63","201"
"At Large","20","40","10","70"
"University of MS Medical Center","1","1","3","5"
"TOTAL","6,259","7,371","7,042","20,672"
"% of Total Offenses","30.28%","35.66%","34.07%","100.00%"
