"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,151","906","1,891","3,948"
"CMCF","1,318","1,139","1,209","3,666"
"SMCI","1,110","870","1,125","3,105"
"County Jails (approved)","806","446","98","1,350"
"County Jails (unapproved)","71","93","43","207"
"Private Prisons","1,092","1,193","3,081","5,366"
"Regional Correctional Facilities","1,009","537","1,523","3,069"
"Community Work Centers","1,223","534","1","1,758"
"Community Trusties","9","6","6","21"
"Pending File Review","83","55","9","147"
"Court Order","159","127","64","350"
"TOTAL CUSTODY POPULATION","8,031","5,906","9,050","22,987"
"Intensive Supervison Program","503","687","36","1,226"
"Earned Release Supervision","780","629","443","1,852"
"Medical Release","20","11","6","37"
"Other Custody","128","112","81","321"
"At Large","16","31","11","58"
"Off-Grounds Medical (Hospital)","2","0","1","3"
