"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGREVATED VIOLENTOFFENSES","SEX OFFENSES","TOTAL"

"MSP","4030","3,474","679","113","113","8,409"
"CMCF","773","847","1,120","316","127","3,183"
"SMCI","505","521","1,292","528","192","3,038"
"County Jails (approved)","352","232","95","8","12","699"
"Youthful Offender Facility","0","1","21","7","2","31"
"County Jails (unapproved)","114","138","79","14","15","360"
"Private Prisons","260","346","1,728","580","203","3,117"
"Regional Correctional Facilities","588","627","1,499","813","296","3,823"
"Community Work Centers","403","203","103","0","0","709"
"Community Trusties","27","11","9","0","0","47"
"Pending File Review","22","20","7","1","1","51"
"Court Order","73","82","64","7","10","236"
"Transitional Housing","9","14","5","0","2","30"
"RRP","25","55","17","1","0","98"
"TVC","4","2","2","0","0","8"
"TOTAL CUSTODY POPULATION","7,185","6,573","6,720","2,388","973","23,839"
"% OF TOTAL OFFENSES","30.14%","27.57%","28.19%","10.02%","4.08%","100.00%"
"Intensive Supervison Program","317","309","72","4","13","715"
"Earned Release Supervision","118","42","342","4","135","641"
"Medical Release","7","3","2","0","0","12"
"Other Custody","157","184","80","28","10","459"
"At Large","","16","6","0","0","30"
"Conditional Release","8 0 3 1","0","2","1","0","3"
"FTR- Monitoring","","3","0","0","0","6"
"Off-Grounds Medical (Hospital)","","6","2","2","0","11"
"TOTAL","7,796","7,136","7,226","2,427","1,131","25,716"
"% OF TOTAL OFFENSES","30.32%","27.75%","28.10%","9.44%","4.40%","100.00%"
