"","Mississippi Department of Corrections","",""
"","","Fact Sheet",""
"","","As of April 2, 2018",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","6",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","00","104",".50%"
"TVC","0","19",".09%"
"Transitional Housing","0","41","0.2%"
"Court Order","0","235","1.12%"
"RRP","0","106",".51%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,107","91.26%"
"Intensive Supervision Program","0","725","3.46%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","601","2.87%"
"Failure to Register-Monitoring","0","5","0.02%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,349","6.44%"
"Other Custody","0","445","2.13%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","28","0.13%"
"TOTAL","23,881","20,938","100.00%"
