"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,287","1,119","2,110","4,516"
"CMCF","1,190","1,110","1,017","3,317"
"SMCI","766","652","863","2,281"
"County Jails (approved)","710","488","134","1,332"
"County Jails (unapproved)","55","58","10","123"
"Private Prisons","1,061","1,095","2,684","4,840"
"Regional Correctional Facilities","919","586","1,568","3,073"
"Community Work Centers","1,131","623","0","1,754"
"Community Trusties","8","3","5","16"
"Pending File Review","20","16","7","43"
"Court Order","115","160","67","342"
"TOTAL CUSTODY POPULATION","7,262","5,910","8,465","21,637"
"Intensive Supervison Program","548","897","38","1,483"
"Earned Release Supervision","755","604","352","1,711"
"Medical Release","4","2","3","9"
"Other Custody","130","108","72","310"
"At Large","37","67","25","129"
"Off-Grounds Medical (Hospital)","2","2","4","8"
