"LOCATION","DRUG OFFENSES","NON-VIOLENT OFFENSES","SEX OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","387","339","550","1,963","3,239"
"CMCF","869","878","344","1,407","3,498"
"SMCI","481","393","476","1,303","2,653"
"Youthful Offender Facility","0","5","2","18","25"
"County Jails (approved)","389","169","10","162","730"
"County Jails (unapproved)","97","139","15","93","344"
"Private Prisons","249","257","542","2,155","3,203"
"Regional Correctional Facilities","723","609","856","2,105","4,293"
"Community Work Centers","373","127","0","105","605"
"Community Trusties","7","2","0","0","9"
"Pending File Review","23","23","0","17","63"
"Court Order","81","74","12","60","227"
"Transitional Housing","17","12","1","11","41"
"RRP","26","34","0","9","69"
"TVC","55","15","0","18","88"
"TOTAL CUSTODY POPULATION","3,777","3,076","2,808","9,426","19,087"
"% OF TOTAL OFFENSES","19.79%","16.12%","14.71%","49.38%","100.00%"
"Intensive Supervison Program","321","372","12","99","804"
"Earned Release Supervision","36","34","11","488","569"
"Medical Release","8","2","0","4","14"
"Other Custody","165","169","27","127","488"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","2","2"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","6","1","4","4","15"
"TOTAL","4,321","3,668","2,863","10,157","21,009"
"% OF TOTAL OFFENSES","20.57%","17.46%","13.63%","48.35%","100.00%"
