"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,308","1,435","2,555","5,298"
"CMCF","1,003","1,038","837","2,878"
"SMCI","635","699","697","2,031"
"County Jails (approved)","659","599","251","1,509"
"County Jails (unapproved)","52","39","21","112"
"Private Prisons","887","895","1,801","3,583"
"Regional Correctional Facilities","755","508","718","1,981"
"Community Work Centers","628","623","33","1,284"
"Community Trusties","10","9","5","24"
"CUSTODY POPULATION","5,937","5,845","6,918","18,700"
"Intensive Supervison Program","313","996","26","1,335"
"Earned Release Supervision","371","487","123","981"
"Medical Release","0","1","0","1"
"Other Custody","52","84","65","201"
"At Large","19","48","29","76"
"University of MS Medical Center","3","2","7"
"TOTAL","6,695","7,463","7,143","21,301"
"% of Total Offenses","31.43%","35.04%","33.53%","100.00%"
