"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","AGGRAVATED ASSAULT OFFENSES","TOTAL"
"MSP","458","453","1,673","577","181","3,342"
"CMCF","900","908","1,066","289","160","3,323"
"SMCI","425","489","1,132","471","145","2,662"
"County Jails (approved)","329","174","98","6","11","618"
"Youthful Offender Facility","0","2","15","6","3","26"
"County Jails (unapproved)","87","126","48","15","10","286"
"Private Prisons","276","353","1,773","569","206","3,177"
"Regional Correctional Facilities","722","712","1,718","873","331","4,356"
"Community Work Centers","384","176","100","0","0","660"
"Community Trusties","22","11","8","0","0","41"
"Pending File Review","51","41","14","1","7","114"
"Court Order","63","74","47","7","9","200"
"Transitional Housing","9","13","11","0","1","34"
"RRP","37","54","12","1","1","105"
"TVC","6","11","2","0","0","19"
"TOTAL CUSTODY POPULATION","3,769","3,597","7,717","2,815","1,065","18,963"
"% OF TOTAL OFFENSES","19.88%","18.97%","40.70%","14.84%","5.62%","100.00%"
"Intensive Supervison Program","333","302","73","3","11","722"
"Earned Release Supervision","96","40","334","4","124","598"
"Medical Release","8","3","2","0","0","13"
"Other Custody","157","183","81","29","7","457"
"At Large","8","15","6","0","0","29"
"Conditional Release","0","0","2","1","0","3"
"FTR- Monitoring","2","3","0","0","0","5"
"Off-Grounds Medical (Hospital)","3","1","2","4","0","10"
"TOTAL","4,376","4,144","8,217","2,856","1,207","20,800"
"% OF TOTAL OFFENSES","21.04%","19.92%","39.51%","13.73%","5.80%","100.00%"
