"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,275","1,100","2,107","4,482"
"CMCF","1,152","1,136","985","3,273"
"SMCI","696","577","787","2,060"
"County Jails (approved)","713","503","140","1,356"
"County Jails (unapproved)","67","54","12","133"
"Private Prisons","1,052","1,107","2,715","4,874"
"Regional Correctional Facilities","894","601","1,575","3,070"
"Community Work Centers","1,128","620","2","1,750"
"Community Trusties","8","3","5","16"
"Pending File Review","18","19","11","48"
"Court Order","122","152","53","327"
"TOTAL CUSTODY POPULATION","7,125","5,872","8,392","21,389"
"Intensive Supervison Program","581","934","38","1,553"
"Earned Release Supervision","731","613","338","1,682"
"Medical Release","4","2","3","9"
"Other Custody","129","105","73","307"
"At Large","35","68","24","127"
"Off-Grounds Medical (Hospital)","0","1","4","5"
