"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,508","1,363","2,617","5,488"
"CMCF","1,114","1,051","901","3,066"
"SMCI","718","727","663","2,108"
"County Jails (approved)","779","782","248","1,809"
"County Jails (unapproved)","74","91","34","199"
"Private Prisons","725","924","1,782","3,431"
"Regional Correctional Facilities","979","615","912","2,506"
"Community Work Centers","663","617","25","1,305"
"Community Trusties","6","7","5","18"
"CUSTODY POPULATION","6,566","6,177","7,187","19,930"
"Intensive Supervison Program","411","1,041","40","1,492"
"Earned Release Supervision","405","489","153","1,047"
"Medical Release","0","0","0","0"
"Other Custody","71","105","68","244"
"At Large","29","55","13","97"
"University of MS Medical Center","1","3","2","6"
"TOTAL","7,483","7,870","7,463","22,816"
"% of Total Offenses","32.80%","34.49%","32.71%","100.00%"
