"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,291","1,006","2,152","4,449"
"CMCF","1,179","1,151","1,029","3,359"
"SMCI","966","784","997","2,747"
"County Jails (approved)","727","478","109","1,314"
"County Jails (unapproved)","77","66","20","163"
"Private Prisons","999","1,090","2,677","4,766"
"Regional Correctional Facilities","963","578","1,485","3,026"
"Community Work Centers","1,185","574","5","1,764"
"Community Trusties","9","4","5","18"
"Pending File Review","37","28","31","96"
"Court Order","142","117","51","310"
"TOTAL CUSTODY POPULATION","7,575","5,876","8,561","22,012"
"Intensive Supervison Program","449","667","29","1,145"
"Earned Release Supervision","682","589","385","1,656"
"Medical Release","4","2","2","8"
"Other Custody","141","98","75","314"
"At Large","20","42","17","79"
"Off-Grounds Medical (Hospital)","2","4","3","9"
