"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,273","1,460","2,487","5,220"
"CMCF","1,028","1,141","856","3,025"
"SMCI","594","757","690","2,041"
"County Jails (approved)","624","627","245","1,496"
"County Jails (unapproved)","41","39","19","99"
"Private Prisons","870","806","1,811","3,487"
"Regional Correctional Facilities","744","520","770","2,034"
"Community Work Centers","602","628","38","1,268"
"Community Trusties","11","8","5","24"
"CUSTODY POPULATION","5,787","5,986","6,921","18,694"
"Intensive Supervison Program","325","895","23","1,243"
"Earned Release Supervision","377","480","126","983"
"Medical Release","0","1","0","1"
"Other Custody","53","92","62","207"
"At Large","20","55","39","84"
"University of MS Medical Center","2","2","7"
"TOTAL","6,564","7,511","7,144","21,219"
"% of Total Offenses","30.93%","35.40%","33.67%","100.00%"
