"GENDER 
MALE 
 
FEMALE 
  
TOTAL","","","","",""
"21,735 
  
2,174 
  
23,909","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","6,663","1,161","","7,824","32.73"
"Black","14,854","990","","15,844","66.27"
"Hispanic","163","15","","178",".74"
"Other","52","8","","60",".25"
"Unknown Race","3","0","","3",".01"
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"13","0","0","","0",".00"
"14","0","0","","0",".00"
"15","5","0","","5",".02"
"16","12","0","","12",".05"
"17","54","3","","57",".24"
"18  -  19","504","16","","520","2.18"
"20  -  29","7,597","668","","8,265","34.57"
"30  -  39","6,600","712","","7,312","30.58"
"40  -  49","4,346","536","","4,882","20.42"
"50  -  59","2,084","198","","2,282","9.54"
"60  -  69","429","35","","464","1.94"
"70  -  79","86","6","","92",".38"
"80+","10","0","","10",".04"
"Verification Pending","8","0","","8",".03"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","2,863","150","","3,013","12.60"
"Homicide/Manslaughter","2,480","220","","2,700","11.29"
"Property","2,699","615","","3,314","13.86"
"Possession of Drugs","3,269","468","","3,737","15.63"
"Robbery","2,980","123","","3,103","12.98"
"Sale of Drugs","2,821","343","","3,164","13.23"
"Sex Offense","2,532","42","","2,574","10.77"
"Violent","2,091","213","","2,304","9.64"
