"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","0","0","0","0","0","0"
"Reporting Instruction","62","62","26","41","43","77"
"Investigation","130","114","192","200","121","175"
"Acceptance","85","73","133","137","98","137"
"Rejection","22","13","42","34","19","40"
"Cancellation","0","0","0","5","3","0"
"Pending","130","114","192","200","121","175"
"Progress Report","22","3","28","0","1","2"
"Violation","61","31","66","58","57","73"
"Probation Warrant","2","2","1","9","1","7"
"Parole Warrant","1","1","0","3","0","4"
"Closure","71","61","77","81","67","74"
"Discharge","0","6","2","16","1","9"
"New File","84","36","12","1","1","1"
"Updates","237","183","292","271","206","263"
"Revocation","0","0","0","0","0","0"
"File Deletion","4","1","3","0","0","1"
"Inquiries","864","465","1028","1356","843","1378"
"TOTAL","1,779","1,165","2,094","2,412","1,582","2,416"
