"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"98 
 
3 
 
101","","","","",""
"R","","","","",""
"ACE 
MALE 
FEMALE 
  
TOTAL 
%","","","","",""
"White 
18 
1 
 
19 
18.81","","","","",""
"Black 
80 
2 
 
82 
81.19","","","","",""
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","7","0","","7","6.93"
"16","21","1","","22","21.78"
"17","70","2","","72","71.29"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","32","0","","32","31.69"
"Homicide/Manslaughter","7","0","","7","6.93"
"Property","14","2","","16","15.84"
"Robbery","29","0","","29","28.71"
"Sex Offense","10","0","","10","9.90"
"Violent","6","1","","7","6.93"
