"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","0","0","0","0","0","0"
"Reporting Instruction","47","70","76","63","75","56"
"Investigation","131","140","145","172","111","129"
"Acceptance","87","98","136","107","117","78"
"Rejection","27","33","27","36","24","31"
"Cancellation","0","0","0","3","0","0"
"Pending","131","140","145","172","111","129"
"Progress Report","0","9","1","1","0","0"
"Violation","34","48","37","31","36","30"
"Probation Warrant","2","6","2","1","4","0"
"Parole Warrant","0","0","0","1","2","3"
"Closure","78","87","75","90","65","78"
"Discharge","0","4","9","5","1","3"
"New File","1","0","0","0","0","8"
"Updates","230","284","220","313","193","315"
"Revocation","0","0","0","0","0","0"
"File Deletion","0","12","5","4","4","1"
"Inquiries","912","1147","948","1368","797","637"
"TOTAL","1,680","2,078","1,826","2,367","1,540","1,498"
