"VIOLATION","FEB","MAR","APR","MAY","JUN","TOTAL","%"
"Abscond","1","3","0","0","0","15",".15"
"Ad on Street","0","0","0","0","0","1",".01"
"Appeal","0","1","0","0","0","2",".02"
"Closed","0","0","0","0","1","1",".01"
"Death","1","0","0","0","0","5",".05"
"Death/Accident","0","1","0","0","1","2",".02"
"Death/Natural Causes","4","2","5","4","4","52",".50"
"Death/Suicide","0","0","0","0","0","2",".02"
"Discharge to Probation","2","1","6","2","1","59",".57"
"Discharged","12","13","13","16","4","118","1.14"
"Discharged-Held In","0","0","0","0","0","2",".02"
"ERS","165","213","183","169","199","1,771","17.16"
"Escape","0","0","0","0","0","1",".01"
"Expiration","113","111","84","82","93","1,293","12.53"
"Governor's Suspension","0","0","0","0","0","1",".01"
"House Arrest/ISP","72","66","8","68","62","720","6.98"
"Medical Release","3","3","4","1","2","17",".16"
"Parole","190","422","393","335","279","3,306","32.04"
"Pending","1","0","0","0","1","5",".05"
"Pending Arrival","2","1","2","0","1","18",".17"
"Probation","183","145","194","207","177","2,220","21.52"
"Rejected","0","0","1","1","0","3",".03"
"Rendered","0","1","0","0","0","2",".02"
"RID on Street","0","0","0","0","0","2",".02"
"Shock Probation","3","2","3","2","2","43",".42"
"Unsupervised Probation","2","0","2","5","2","26",".25"
"Release Type Unknown","57","60","37","37","15","631","6.12"
"TOTAL","811","1,045","935","929","844","10,318","100.00"
