"VIOLATION","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Abscond","2","2","2","1","1","3","0"
"Ad on Street","0","0","1","0","0","0","0"
"Appeal","0","0","1","0","0","0","0"
"Closed","0","0","0","0","0","0","0"
"Death","0","4","0","0","0","0","0"
"Death/Accident","0","0","0","0","0","0","0"
"Death/Natural Causes","2","4","3","7","5","5","7"
"Death/Suicide","0","1","0","1","0","0","0"
"Discharge to Probation","7","13","9","6","5","3","4"
"Discharged","9","5","9","11","7","13","6"
"Discharged-Held In","0","0","2","0","0","0","0"
"ERS","117","121","122","131","108","134","109"
"Escape","0","0","0","0","0","1","0"
"Expiration","143","139","123","121","112","93","79"
"Governor's Suspension","0","0","1","0","0","0","0"
"House Arrest/ISP","123","5","76","50","99","6","85"
"Medical Release","0","1","1","0","0","1","1"
"Parole","404","312","205","228","181","180","177"
"Pending","0","0","0","1","1","0","1"
"Pending Arrival","2","3","5","0","0","1","1"
"Probation","197","177","192","199","161","191","197"
"Rejected","0","1","0","0","0","0","0"
"Rendered","0","0","1","0","0","0","0"
"RID on Street","0","2","0","0","0","0","0"
"Shock Probation","7","1","7","2","7","5","2"
"Unsupervised Probation","2","0","3","5","3","0","2"
"Release Type Unknown","77","70","76","72","53","35","42"
"TOTAL","1,092","861","839","835","743","671","713"
