"VIOLATION","FEB","MAR","APR","MAY","JUN","TOTAL","%"
"Escape - Return","0","0","0","1","0","4",".04"
"Interstate Compact","0","0","0","0","0","1",".01"
"ISP-Prison","0","1","0","1","0","5",".05"
"New Prisoner","412","560","463","386","447","5,204","52.98"
"Non-Adjudicated Prob.","0","0","0","0","0","1",".01"
"Non-Adjudicated RID","5","12","4","4","10","92",".94"
"Parole Violation","0","0","0","0","0","1",".01"
"Post Release Probation","0","0","0","0","0","8",".08"
"Probation-Awaiting","0","0","0","0","0","1",".01"
"Probation Revoked","208","317","289","203","274","2,947","30.00"
"Return-Abscond","0","0","0","0","0","40",".41"
"Return - ERS","49","50","50","51","39","487","4.96"
"Return - House Arrest","36","44","36","29","28","407","4.14"
"Returned - Medical","0","0","0","0","0","1","1.01"
"Returned Parole","47","46","72","87","73","623","6.34"
"Sentenced to Probation","0","0","1","0","0","1",".01"
"TOTAL","757","1,030","915","762","871","9,823","100.00"
