"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","31","50","47","34","18","25"
"Reporting Instruction","182","179","148","92","122","101"
"Investigation","85","78","93","80","66","48"
"Acceptance","10","47","58","65","23","11"
"Rejection","11","18","10","12","16","0"
"Cancellation","0","0","0","0","0","0"
"Pending","85","78","93","80","66","48"
"Progress Report","7","8","0","1","0","0"
"Violation","57","58","44","47","23","4"
"Probation Warrant","7","10","11","7","3","0"
"Parole Warrant","0","0","0","0","0","0"
"Closure","48","60","59","66","37","4"
"Discharge","0","30","13","18","10","19"
"New File","0","0","7","0","0","0"
"Updates","178","62","203","206","148","81"
"Revocation","0","0","0","0","0","0"
"File Deletion","1","0","1","3","4","0"
"Inquiries","420","359","210","228","233","232"
"TOTAL","1,122","1,037","997","939","769","573"
