"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"586 
 
78 
 
664","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","244","39","","283","42.62"
"Black","333","39","","372","56.02"
"Hispanic","5","0","","5",".75"
"Other","4","0","","4",".60"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"50 - 59","506","69","","575","86.60"
"60 - 69","73","8","","81","12.20"
"70—79","6","1","","7","1.05"
"Over 80","1","0","","1",".15"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","44","1","","45","6.78"
"Homicide/Manslaughter","21","5","","26","3.92"
"Property","180","24","","204","30.72"
"Drug Possession","135","14","","149","22.44"
"Robbery","13","0","","13","1.96"
"Sale of Drugs","87","22","","109","16.42"
"Sex Offense","55","2","","57","8.58"
"Violent","51","10","","61","9.19"
