"MARSHALL COUNTY CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education","90","Open Entry/Exit"
"Adjustment Skills Training","30","45 Days"
"Alcohol & Drug Treatment—Short Term","30","45 Days"
"Alcohol & Drug Treatment—Long Term","30","180 Days"
"Bible Education Program","201","Open Entry/Exit"
"Culinary Arts Introduction","15","12 Months"
"General Educational Development","60","Open Entry/Exit"
"Introduction to Computer Science","36","180 Days"
"Introduction to Horticulture","40","180 Days"
"Life Skills","30","65 Days"
"Literacy Skills","18","Open Entry/Exit"
