"MALE","","","","",""
"SEX OFFENSES","BLACK","","WHITE   HISPANIC","OTHER","TOTAL"
"Child Molestation","1","7","0","0","8"
"Child Pornography","0","1","0","0","1"
"Entice Child Indecent Purposes","0","2","0","0","2"
"Exploitation of Child","0","13","0","0","13"
"Failure to Register Sex Offender","29","30","0","1","60"
"Fondling","8","15","1","0","24"
"Fondling a Child","4","3","0","0","7"
"Gratification of Lust","7","8","0","0","15"
"Peeping Tom","2","1","0","0","3"
"Rape","8","3","0","0","11"
"Sex Abuse—Vulnerable Adult","0","1","0","0","1"
"Sexual Battery","45","61","4","0","110"
"Sexual Penetration of Incarcerate","0","0","0","0","0"
"Statutory Rape","58","31","1","0","90"
"Unlawful Touching of Child","17","27","3","0","47"
"Video Voyeurism—Photographing","1","0","0","0","1"
"TOTAL","180","203","9","1","393"
