"MDOC INMATES SERVED BY ALCOHOL AND DRUG PROGRAMS","","","",""
"LOCATION","","SERVED","COMPLETED","CAPACITY"
"MSP","Therapeutic Community (Unit 30)","1,276","551","432"
"","Special Needs (Disability Unit 31)","6","1","20"
"","Special Needs (Unit 29-A)","68","26","48"
"CMCF","A & D Program for Females","515","304","232"
"","A & D Program for Males (Disability Unit)","68","45","16"
"SMCI","Regimented Inmate Discipline Area","244","225","OPEN"
"","General Population Program Area","1,040","610","200"
"3 Community Pre-Release Centers","","284","237","132"
"Flowood CWC (General Population)","","0","0","N/A"
"14 Community Work Centers (Alcoholics Anonymous)","","177","N/A","N/A"
