"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","38","62","46","41","47","31"
"Reporting Instruction","58","133","138","130","115","87"
"Investigation","68","95","125","92","70","81"
"Acceptance","35","44","56","70","58","33"
"Rejection","13","0","0","0","6","0"
"Cancellation","0","0","0","0","0","0"
"Pending","68","95","125","92","70","81"
"Progress Report","0","3","0","0","0","0"
"Violation","21","28","39","29","30","36"
"Probation Warrant","0","1","7","0","5","0"
"Parole Warrant","8","0","0","7","0","0"
"Closure","37","65","56","45","48","30"
"Discharge","11","29","0","12","10","16"
"New File","0","0","0","0","0","0"
"Updates","138","186","233","183","177","202"
"Revocation","0","0","0","0","0","0"
"File Deletion","1","0","0","0","0","0"
"Inquiries","123","203","219","90","205","247"
"TOTAL","619","944","1,044","791","841","844"
