"WALNUT GROVE YOUTH CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Alcohol & Drug Treatment—Long Term","350","6 Months"
"Alcohol & Drug Treatment—Short Term","350","3 Months"
"General Educational Development","700+ (Block Schedule)","Open Entry/Exit"
"ACT Classes","60","12 to 18 Months"
"Pre-Release","150","6 Weeks"
"Regimented Inmate Discipline","248","6 Months or 24-26 
Weeks"
"Religious Programs","As Needed","Open Entry/Exit"
"Recreation","As Needed","Open Entry/Exit"
"Anger Management","60","12 Weeks"
"Vocational Skills Training","150","12 Months"
