"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"8,998 
  
1,320 
  
10,318","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","3,020","715","","3,735","36.20"
"Black","5,846","593","","6,439","62.41"
"Hispanic","103","9","","112","1.09"
"Other","29","3","","32",".31"
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"15","3","0","","3",".03"
"16","1","0","","1",".01"
"17","15","0","","15",".15"
"18 - 19","264","7","","271","2.63"
"20 - 29","3,479","378","","3,857","37.38"
"30 - 39","2,762","445","","3,207","31.08"
"40 - 49","1,650","384","","2,034","19.71"
"50 - 59","701","96","","797","7.72"
"60 - 69","103","9","","112","1.09"
"70 - 79","17","1","","18",".17"
"80+","3","0","","3",".03"
"O","","","","",""
"FFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","1,414","75","","1,489","14.43"
"Homicide/Manslaughter","161","20","","181","1.75"
"Property","2,096","503","","2,599","25.19"
"Possession of Drugs","2,251","378","","2,629","25.48"
"Robbery","492","31","","523","5.07"
"Sale of Drugs","1,751","232","","1,983","19.22"
"Sex Offense","264","9","","273","2.65"
"Violent","569","72","","641","6.21"
