"GENDER 
MALE 
 
FEMALE 
  
TOTAL","","","","",""
"393 
 
16 
 
409","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","203","12","","215","52.57"
"Black","180","4","","184","44.99"
"Hispanic","9","0","","9","2.20"
"Other","1","0","","1",".24"
"Unknown Race","0","0","","0",".00"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","2","0","","2",".49"
"16","2","0","","2",".49"
"17","6","0","","6","1.47"
"18 - 19","25","1","","26","6.36"
"20 - 29","127","4","","131","32.03"
"30 - 39","94","6","","100","24.45"
"40 - 49","82","3","","85","20.78"
"50 - 59","31","2","","33","8.07"
"60 - 69","23","0","","23","5.62"
"70 - 79","1","0","","1",".24"
"80+","0","0","","0",".00"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Child Molestation","8","0","","8","1.96"
"Child Pornography","1","0","","1",".24"
"Entice Child for Indecent Purposes","2","0","","2",".49"
"Exploitation of Child","13","1","","14","3.42"
"Failure to Register as Sex Offender","60","2","","62","15.16"
"Fondling","24","0","","24","5.87"
"Fondling a Child","7","0","","7","1.71"
"Gratification/Lust","15","1","","16","3.91"
