"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,187","35.92%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,371","2.57%"
"Other Custody","486",".91%"
"At Large (Escapees & Walk-Aways)","25",".05%"
"Off-Grounds Medical (Hospital)","13",".02%"
"INMATE TOTAL","21,082","39.46%"
"PAROLEES","8,835","16.54%"
"TVC Parole","295","0.55%"
"PROBATIONERS","23,075","43.19%"
"TVC Probation","135","0.25%"
"PAROLEE AND PROBATIONER TOTAL","32,340","60.54%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,422","100.00%"
