"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,933","34.63%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP)","1,375","2.51%"
"Other Custody","525",".96%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","4",".01%"
"INMATE TOTAL","20,865","38.16%"
"PAROLEES","7,693","14.07%"
"TVC Parole","126","0.23%"
"PROBATIONERS","25,847","47.27%"
"TVC Probation","143","0.26%"
"PAROLEE AND PROBATIONER TOTAL","33,809","61.84%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,674","100.00%"
