"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,306","36.15%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,360","2.55%"
"Other Custody","465",".87%"
"At Large (Escapees & Walk-Aways)","25",".05%"
"Off-Grounds Medical (Hospital)","18",".03%"
"INMATE TOTAL","21,174","39.65%"
"PAROLEES","8,730","16.35%"
"TVC Parole","357","0.67%"
"PROBATIONERS","23,021","43.11%"
"TVC Probation","122","0.23%"
"PAROLEE AND PROBATIONER TOTAL","32,230","60.35%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,404","100.00%"
