"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","19,290","48.90%",""
"Community Corrections (ERS, ISP, Medical Release)","2,499","6.34%",""
"Other Custody","230","0.58%",""
"At Large (Escapees & Walk-Aways)","89","0.23%",""
"University of MS Medical Center","9","0.02%",""
"Inmate Total","22,117","56.07%"
"PAROLEES","1,877","4.76%",""
"PROBATIONERS","15,452","39.17%",""
"Parolees & Probationers Total","17,329","43.93%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","39,446","100.00%",""
