"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,267","27.95%"
"Community Corrections (ERS, ISP, Medical Release)","1,708","2.61%"
"Other Custody","555",".85%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","20,565","31.47%"
"PAROLEES","8,819","13.49%"
"TVC Parole","442","0.68%"
"PROBATIONERS","35,382","54.14%"
"TVC Probation","145","0.22%"
"PAROLEE AND PROBATIONER TOTAL","44,788","68.53%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65,353","100.00%"
