"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","18,700","48.27%",""
"Community Corrections (ERS, ISP, Medical Release)","2,317","5.98%",""
"Other Custody","201","0.52%",""
"At Large (Escapees & Walk-Aways)","76","0.20%",""
"University of MS Medical Center","7","0.02%",""
"Inmate Total","21,301","54.98%"
"PAROLEES","1,747","4.51%",""
"PROBATIONERS","15,692","40.51%",""
"Parolees & Probationers Total","17,439","45.02%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","38,740","100.00%",""
