"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,859","28.74%"
"Community Corrections (ERS, ISP, Medical Release)","2,422","3.69%"
"Other Custody","519",".79%"
"At Large (Escapees & Walk-Aways)","28",".04%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","21,835","33.27%"
"PAROLEES","9,821","14.96%"
"TVC Parole","285","0.43%"
"PROBATIONERS","33,529","51.09%"
"TVC Probation","158","0.24%"
"PAROLEE AND PROBATIONER TOTAL","43,793","66.73%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65,628","100.00%"
