"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,594","28.18%"
"Community Corrections (ERS, ISP, Medical Release)","2,172","3.29%"
"Other Custody","535",".81%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","5",".01%"
"INMATE TOTAL","21,333","32.33%"
"PAROLEES","9,407","14.26%"
"TVC Parole","311","0.47%"
"PROBATIONERS","34,778","52.71%"
"TVC Probation","157","0.24%"
"PAROLEE AND PROBATIONER TOTAL","44,653","67.67%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65,986","100.00%"
