"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,751","30.14%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release)","1,658","2.67%"
"Other Custody","527",".85%"
"At Large (Escapees & Walk-Aways)","26",".04%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","20,972","33.71%"
"PAROLEES","8,095","13.01%"
"TVC Parole","81","0.13%"
"PROBATIONERS","32,957","52.98%"
"TVC Probation","103","0.17%"
"PAROLEE AND PROBATIONER TOTAL","41,236","66.29%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","62,208","100.00%"
