"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,574","28.21%"
"Community Corrections (ERS, ISP, Medical Release)","2,250","3.42%"
"Other Custody","536",".81%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","21,394","32.49%"
"PAROLEES","9,562","14.52%"
"TVC Parole","344","0.52%"
"PROBATIONERS","34,398","52.24%"
"TVC Probation","153","0.23%"
"PAROLEE AND PROBATIONER TOTAL","44,457","67.51%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65,851","100.00%"
