"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,626","29.54%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release)","1,675","2.66%"
"Other Custody","524",".83%"
"At Large (Escapees & Walk-Aways)","26",".04%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","20,858","33.08%"
"PAROLEES","8,340","13.23%"
"TVC Parole","113","0.18%"
"PROBATIONERS","33,617","53.32%"
"TVC Probation","118","0.19%"
"PAROLEE AND PROBATIONER TOTAL","42,188","66.92%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","63,046","100.00%"
