"AGE","MALE","FEMALE","TOTAL","%"
"11","0","1","1",".00"
"13","1","0","1",".00"
"14","0","0","0",".00"
"15","3","0","3",".01"
"16","21","0","21",".08"
"17","54","1","55",".21"
"18  -  19","499","16","515","2.00"
"20  -  29","8,430","724","9,154","35.53"
"30  -  39","6,916","832","7,748","30.07"
"40  -  49","4,783","726","5,509","21.38"
"50  -  59","2,031","198","2,229","8.65"
"60  -  69","388","37","425","1.65"
"70  -  79","76","3","79",".31"
"80+","10","0","10",".04"
"Verification Pending","14","0","14",".05"
