"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,964","31.24%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release)","1,669","2.75%"
"Other Custody","523",".86%"
"At Large (Escapees & Walk-Aways)","26",".04%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","21,193","34.91%"
"PAROLEES","7,806","12.86%"
"TVC Parole","100","0.16%"
"PROBATIONERS","31,485","51.86%"
"TVC Probation","126","0.21%"
"PAROLEE AND PROBATIONER TOTAL","39,517","65.09%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","60,710","100.00%"
