"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,270","35.78%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,342","2.49%"
"Other Custody","448",".83%"
"At Large (Escapees & Walk-Aways)","27",".05%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","21,098","39.17%"
"PAROLEES","8,725","16.20%"
"TVC Parole","220","0.41%"
"PROBATIONERS","23,709","44.02%"
"TVC Probation","109","0.20%"
"PAROLEE AND PROBATIONER TOTAL","32,763","60.83%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,861","100.00%"
