"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,833","34.62%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP, Failure to Report)","1,374","2.53%"
"Other Custody","511",".94%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","20,753","38.15%"
"PAROLEES","7,787","14.31%"
"TVC Parole","81","0.15%"
"PROBATIONERS","25,635","47.12%"
"TVC Probation","147","0.27%"
"PAROLEE AND PROBATIONER TOTAL","33,650","61.85%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS ","54,403","100.00%"
