Location,Capacity_x,1-Oct-02,2-Oct-02,3-Oct-02,4-Oct-02,5-Oct-02,6-Oct-02,7-Oct-02,8-Oct-02,9-Oct-02,10-Oct-02,Capacity_y,11-Oct-02,12-Oct-02,13-Oct-02,14-Oct-02,15-Oct-02,16-Oct-02,17-Oct-02,18-Oct-02,19-Oct-02,20-Oct-02,Capacity,21-Oct-02,22-Oct-02,23-Oct-02,24-Oct-02,25-Oct-02,26-Oct-02,27-Oct-02,28-Oct-02,29-Oct-02,30-Oct-02,31-Oct-02
MS STATE PENITENTIARY,"5,551","5,330","5,328","5,338","5,341","5,339","5,337","5,330","5,321","5,320","5,328","5,551","5,324","5,323","5,322","5,318","5,331","5,328","5,320","5,336","5,337","5,335","5,551","5,331","5,363","5,334","5,352","5,344","5,344","5,343","5,357","5,359","5,370","5,368"
CENTRAL MS CORRECTIONAL FACILITY,"3,099","2,993","3,010","3,012","3,037","3,036","3,037","3,063","3,082","3,105","3,111","3,099","3,099","3,096","3,097","3,078","3,092","3,113","3,134","3,118","3,120","3,120","3,099","3,114","3,074","3,053","3,027","3,023","3,024","3,025","3,021","3,037","3,032","3,033"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,031","2,027","2,032","2,030","2,028","2,029","2,030","2,028","1,982","1,947","2,214","1,967","1,967","1,967","1,998","1,956","1,954","1,942","1,980","1,978","1,978","2,214","1,992","1,985","2,018","2,033","2,040","2,040","2,040","2,027","2,043","2,042","2,040"
COUNTY JAILS,"2,113","1,894","1,866","1,853","1,836","1,836","1,836","1,814","1,807","1,813","1,804","2,113","1,775","1,775","1,775","1,767","1,767","1,793","1,805","1,802","1,802","1,802","2,113","1,815","1,862","1,871","1,896","1,908","1,908","1,908","1,928","1,913","1,934","1,943"
COMMUNITY WORK CENTERS,"1,350","1,293","1,306","1,306","1,256","1,256","1,257","1,296","1,301","1,296","1,299","1,350","1,258","1,257","1,258","1,303","1,302","1,303","1,299","1,250","1,252","1,252","1,350","1,300","1,302","1,303","1,304","1,257","1,255","1,254","1,297","1,294","1,293","1,302"
Alcorn Satellite Facility,75,71,72,73,71,71,71,73,73,73,73,75,66,66,66,73,73,73,73,71,71,71,75,73,73,73,73,70,70,70,73,75,75,75
Bolivar Satellite Facility,75,72,72,72,72,72,72,71,75,74,74,75,73,73,73,74,74,74,74,72,72,72,75,74,74,74,74,71,71,71,74,74,74,73
Forrest Satellite Facility,75,74,74,74,69,69,69,74,74,72,72,75,73,73,73,74,74,75,75,72,72,72,75,74,74,74,74,70,69,69,75,74,75,75
George Satellite Facility,75,74,74,74,71,71,71,73,73,73,73,75,73,73,73,73,73,75,75,71,72,72,75,73,73,73,73,69,69,68,73,71,71,75
Harrison Satellite Facility,75,71,71,70,68,68,68,70,71,71,75,75,70,70,70,75,75,75,75,74,74,74,75,75,74,74,74,68,68,68,74,74,73,74
