Location,Capacity_x,1-Jul-14,2-Jul-14,3-Jul-14,4-Jul-14,5-Jul-14,6-Jul-14,7-Jul-14,8-Jul-14,9-Jul-14,10-Jul-14,11-Jul-14,Capacity_y,12-Jul-14,13-Jul-14,14-Jul-14,15-Jul-14,16-Jul-14,17-Jul-14,18-Jul-14,19-Jul-14,20-Jul-14,21-Jul-14,Capacity,22-Jul-14,23-Jul-14,24-Jul-14,25-Jul-14,26-Jul-14,27-Jul-14,28-Jul-14,29-Jul-14,30-Jul-14,31-Jul-14,Avg Pop
Mississippi State Penitentiary,"4,648","3,342","3,342","3,333","3,329","3,324","3,326","3,323","3,323","3,327","3,330","3,344","4,648","3,342","3,342","3,356","3,366","3,369","3,367","3,366","3,366","3,367","3,355","4,648","3,346","3,349","3,342","3,347","3,345","3,345","3,332","3,342","3,336","3,344","3,344"
Central Mississippi Correctional Facility,"3,665","2,613","2,610","2,615","2,616","2,614","2,613","2,619","2,610","2,613","2,655","2,612","3,665","2,613","2,611","2,611","2,621","2,599","2,580","2,539","2,537","2,539","2,535","3,665","2,526","2,515","2,482","2,433","2,432","2,432","2,435","2,446","2,434","2,461","2,555"
Youthful Offender Unit,42,44,44,44,44,44,44,45,45,45,43,44,42,44,44,44,44,44,44,43,43,43,42,42,41,41,41,42,42,42,41,41,41,35,43
South Mississippi Correctional Institution,"3,282","3,180","3,188","3,173","3,173","3,172","3,169","3,175","3,180","3,183","3,180","3,172","3,282","3,174","3,174","3,179","3,175","3,166","3,173","3,199","3,199","3,195","3,202","3,282","3,192","3,188","3,198","3,190","3,185","3,185","3,188","3,205","3,223","3,219","3,185"
County Jails,"2,020","1,669","1,666","1,683","1,684","1,691","1,684","1,679","1,718","1,735","1,726","1,750","2,020","1,750","1,750","1,708","1,696","1,712","1,726","1,733","1,733","1,732","1,715","2,020","1,697","1,694","1,737","1,745","1,745","1,765","1,747","1,759","1,732","1,717","1,719"
COMMUNITY WORK CENTERS,"1,848","1,148","1,153","1,156","1,155","1,154","1,154","1,161","1,164","1,163","1,162","1,152","1,848","1,151","1,149","1,182","1,189","1,195","1,203","1,208","1,204","1,203","1,205","1,848","1,158","1,162","1,170","1,189","1,189","1,165","1,189","1,169","1,175","1,183","1,172"
Alcorn Satellite Facility,92,88,89,87,87,87,87,87,87,87,87,90,92,90,88,88,87,87,87,87,87,87,86,92,87,87,88,88,88,88,88,89,88,88,88
Bolivar Satellite Facility,102,39,38,39,39,39,39,43,43,45,45,45,102,45,45,45,46,46,47,47,47,47,47,102,46,46,47,46,46,46,46,48,48,49,45
Forrest Satellite Facility,96,49,49,51,51,51,51,51,51,51,51,52,96,52,52,54,54,55,55,55,55,55,54,96,51,51,51,50,50,50,53,53,59,56,52
George Satellite Facility,102,58,58,58,58,58,58,58,58,60,60,59,102,59,59,60,64,64,64,65,65,65,60,102,57,58,59,57,57,56,57,57,57,59,59
Harrison Satellite Facility,102,57,57,57,57,56,56,56,56,54,54,55,102,55,55,56,56,56,56,55,55,55,59,102,56,56,56,55,55,55,57,57,52,51,55
Jackson Satellite Facility,102,47,47,49,49,49,49,49,49,49,49,47,102,47,47,49,48,48,48,49,49,49,50,102,50,50,50,50,50,50,50,50,54,53,49
Jefferson Satellite Facility,102,48,48,48,48,48,47,47,46,48,48,47,102,47,47,48,48,48,46,45,44,44,43,102,43,43,41,41,41,41,41,41,41,41,45
Leflore Satellite Facility,102,49,49,50,50,50,50,49,49,50,50,47,102,47,47,49,49,49,48,46,45,45,47,102,44,43,45,46,46,46,48,48,47,47,48
Madison Satellite Facility,102,56,57,60,60,60,60,61,65,64,64,65,102,65,65,70,70,69,75,75,75,75,73,102,70,70,70,69,69,69,72,71,71,70,67
Noxubee Satellite Facility,92,78,78,78,78,78,78,78,78,76,79,74,92,74,74,80,80,79,80,77,77,77,79,92,77,76,74,73,73,72,72,72,72,78,76
Pike Satellite Facility,93,76,76,76,76,76,76,76,75,76,76,80,93,80,80,81,81,84,87,86,86,86,86,93,84,84,86,86,86,86,86,80,83,81,81
Quitman Satellite Facility,93,70,70,69,69,69,69,69,70,65,63,63,93,63,63,63,69,70,72,73,72,72,74,93,71,73,76,76,76,75,75,73,74,70,70
Rankin Satellite Facility,260,197,199,201,200,200,201,203,202,200,198,194,260,194,194,197,197,199,196,205,204,204,203,260,189,189,187,207,207,186,202,187,187,190,197
Simpson Satellite Facility,102,99,101,99,99,99,99,99,99,99,99,95,102,95,95,101,101,101,101,101,101,101,102,102,96,99,101,101,101,101,99,100,100,102,99
Washington Satellite Facility,102,50,51,49,49,49,49,50,49,49,48,48,102,48,48,48,46,48,49,48,48,48,49,102,49,49,50,50,50,50,50,50,49,55,49
Wilkinson Satellite Facility,102,43,42,41,41,41,41,41,41,43,44,48,102,48,48,49,49,48,48,48,48,47,47,102,44,44,43,49,49,49,48,48,48,48,46
Yazoo Satellite Facility,102,44,44,44,44,44,44,44,46,47,47,43,102,42,42,44,44,44,44,46,46,46,46,102,44,44,46,45,45,45,45,45,45,45,45
REGIONAL CORRECTIONAL FACILITIES,"4,560","4,408","4,409","4,416","4,415","4,415","4,414","4,418","4,422","4,420","4,418","4,419","4,560","4,419","4,419","4,414","4,401","4,411","4,421","4,421","4,420","4,420","4,417","4,560","4,416","4,413","4,410","4,419","4,417","4,416","4,410","4,410","4,420","4,390","4,415"
Alcorn County,360,297,300,300,300,300,300,300,300,301,301,300,360,300,300,300,300,299,299,298,298,298,298,360,298,301,301,301,301,301,299,299,302,301,300
