Location,Capacity_x_x,1-Jan-15,2-Jan-15,3-Jan-15,4-Jan-15,5-Jan-15,6-Jan-15,7-Jan-15,8-Jan-15,9-Jan-15,Capacity_y_x,10-Jan-15,11-Jan-15,12-Jan-15,13-Jan-15,14-Jan-15,15-Jan-15,16-Jan-15,17-Jan-15,18-Jan-15,Capacity_x_y,19-Jan-15,20-Jan-15,21-Jan-15,22-Jan-15,23-Jan-15,24-Jan-15,25-Jan-15,26-Jan-15,27-Jan-15,Capacity_y_y,28-Jan-15,29-Jan-15,30-Jan-15,31-Jan-15,Avg Population
Mississippi State Penitentiary,"4,648","3,109","3,104","3,111","3,106","3,102","3,093","3,177","3,096","3,112","4,648","3,205","3,113","3,111","3,017","3,104","3,189","3,095","3,093","3,095","4,648","3,097","3,089","3,080","3,071","3,075","3,073","3,072","3,076","3,074","4,648","3,093","3,104","3,111","3,111","3,102"
MSP TVC,108,99,97,89,94,94,88,0,96,93,108,0,90,89,88,85,88,84,84,78,108,76,76,75,65,64,63,61,59,78,108,77,76,77,77,76
Central Mississippi Correctional Facility,"3,469","2,173","2,176","2,181","2,182","2,207","2,226","2,215","2,116","2,156","3,469","2,046","2,052","2,168","2,176","2,178","2,183","2,193","2,193","2,195","3,469","2,194","2,202","2,208","2,178","2,169","2,170","2,169","2,179","2,157","3,469","2,219","2,235","2,205","2,205","2,178"
Youthful Offender Unit,58,34,34,34,34,34,34,35,34,33,58,33,33,33,33,33,33,33,33,33,58,33,33,32,32,112,32,32,31,31,58,29,28,27,27,35
CMCF TVC,158,122,121,119,110,106,100,100,100,109,158,109,104,98,95,92,92,97,97,92,158,92,90,88,111,32,112,112,123,117,158,115,115,118,118,103
South Mississippi Correctional Institution,"3,282","2,532","2,528","2,530","2,535","2,523","2,521","2,528","2,493","2,489","3,282","2,489","2,490","2,585","2,582","2,579","2,565","2,558","2,558","2,557","3,282","2,557","2,554","2,555","2,547","2,541","2,537","2,537","2,441","2,410","3,282","2,364","2,341","2,423","2,405","2,511"
SMCI TVC,0,94,94,94,88,87,83,81,97,97,0,97,97,96,93,89,88,87,87,87,0,86,80,84,84,84,84,84,83,94,0,94,93,93,93,89
County Jails,"1,973","1,389","1,390","1,387","1,380","1,364","1,358","1,340","1,409","1,314","1,973","1,423","1,418","1,229","1,249","1,331","1,320","1,327","1,327","1,327","1,973","1,334","1,351","1,362","1,393","1,414","1,412","1,414","1,479","1,492","1,973","1,465","1,475","1,472","1,493","1,382"
COMMUNITY WORK CENTERS,"1,848","1,111","1,109","1,106","1,117","1,096","1,090","1,084","1,085","1,076","1,848","1,075","1,072","1,100","1,098","1,049","1,093","1,068","1,067","1,068","1,848","1,082","1,074","1,070","1,065","1,050","1,049","1,048","1,085","1,084","1,848","1,092","1,086","1,071","1,069","1,080"
Alcorn Satellite Facility,92,62,62,62,62,61,62,63,63,65,92,65,65,66,66,66,65,65,65,65,92,65,65,65,65,60,60,60,60,60,92,59,59,59,59,63
