Location,Capacity_x,1-Dec-17,Unnamed: 3,2-Dec-17,3-Dec-17,4-Dec-17,5-Dec-17,6-Dec-17,7-Dec-17,8-Dec-17,9-Dec-17,10-Dec-17,11-Dec-17,12-Dec-17,13-Dec-17,14-Dec-17,15-Dec-17,16-Dec-17,17-Dec-17,Capacity_y,18-Dec-17,19-Dec-17,20-Dec-17,21-Dec-17,22-Dec-17,23-Dec-17,24-Dec-17,25-Dec-17,26-Dec-17,27-Dec-17,28-Dec-17,29-Dec-17,30-Dec-17,31-Dec-17,Avg Population
Mississippi State Penitentiary,"3,590","3,324","3,324","3,321","3,293","3,283","3,257","3,254","3,297","3,268","3,268","3,268","3,297","3,309","3,338","3,331","3,331","3,330",,"3,590","3,344","3,339","3,352","3,344","3,360","3,359","3,358","3,357","3,357","3,367","3,373","3,366","3,365","3,366","3,324"
Central Mississippi Correctional Facility,"3,830","3,636","3,635","3,639","3,637","3,609","3,616","3,625","3,574","3,618","3,618","3,618","3,574","3,563","3,516","3,518","3,518","3,518",,"3,830","3,527","3,537","3,496","3,528","3,494","3,504","3,493","3,494","3,493","3,508","3,467","3,481","3,484","3,482",3551
Youthful Offender Unit,58,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,58,27,26,26,26,26,26,26,26,26,26,26,26,26,26,27
CMCF TVC,0,35,35,28,28,28,28,28,18,28,28,28,18,17,13,28,28,28,,0,27,28,28,28,28,28,28,28,28,28,27,26,26,26,27
South Mississippi Correctional Institution,"3,082","2,638","2,637","2,636","2,634","2,650","2,652","2,655","2,654","2,657","2,657","2,657","2,654","2,659","2,663","2,665","2,666","2,663",,"3,082","2,660","2,659","2,666","2,655","2,661","2,661","2,661","2,661","2,660","2,656","2,653","2,661","2,661","2,661",2656
County Jails,"1,781","1,201","1,201","1,201","1,216","1,226","1,247","1,245","1,232","1,250","1,250","1,250","1,232","1,242","1,217","1,187","1,187","1,187",,"1,781","1,182","1,173","1,156","1,142","1,134","1,134","1,134","1,134","1,134","1,114","1,111","1,107","1,107","1,107",1184
COMMUNITY WORK CENTERS,"1,188",841,840,840,840,838,826,822,858,813,813,813,858,850,854,847,844,843,,"1,188",835,819,836,832,838,835,835,832,828,826,832,830,831,831,835
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Satellite Facility,96,57,57,57,57,56,56,56,55,55,55,55,55,55,56,57,57,57,,96,57,57,62,62,62,62,62,62,62,62,61,61,61,61,58
George Satellite Facility,102,61,60,60,62,61,61,61,59,59,59,59,59,58,60,61,61,60,,102,60,60,59,58,65,65,65,65,65,65,65,64,64,64,61
Harrison Satellite Facility,102,58,58,58,58,58,58,57,58,58,58,58,58,57,56,56,55,55,,102,54,54,61,61,60,60,60,60,60,60,58,58,58,58,58
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,64,64,64,63,63,58,58,73,56,56,56,73,70,70,68,68,68,,82,67,63,62,60,57,55,55,54,53,53,53,52,52,52,61
Leflore TVC Support,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,20,15,15,15,16,16,16,16,16,16,16,16,16,17,17,15
Madison Satellite Facility,62,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,,62,60,60,59,61,61,61,61,61,61,58,59,59,59,59,61
Noxubee Satellite Facility,58,45,45,45,45,45,45,45,45,45,45,45,45,45,47,45,45,45,,58,46,45,45,45,50,50,50,50,50,50,50,50,50,50,47
Pike Satellite Facility,93,88,88,88,87,87,87,87,87,87,87,87,87,87,87,86,86,86,,93,84,82,82,82,81,81,81,81,81,84,82,82,82,82,85
Quitman Satellite Facility,93,47,47,47,47,47,47,46,46,46,46,46,46,46,46,45,45,45,,93,45,44,48,47,47,47,47,47,47,46,42,42,42,42,46
