Location,Capacity_x,1-Apr-19,Unnamed: 3,2-Apr-19,3-Apr-19,4-Apr-19,5-Apr-19,6-Apr-19,7-Apr-19,8-Apr-19,9-Apr-19,10-Apr-19,11-Apr-19,12-Apr-19,13-Apr-19,14-Apr-19,15-Apr-19,16-Apr-19,17-Apr-19,Capacity_y,18-Apr-19,19-Apr-19,20-Apr-19,21-Apr-19,22-Apr-19,23-Apr-19,24-Apr-19,25-Apr-19,26-Apr-19,27-Apr-19,28-Apr-19,29-Apr-19,30-Apr-19,Avg Population
Mississippi State Penitentiary,"3,560","3,281","3,274","3,275","3,271","3,277","3,276","3,276","3,288","3,291","3,296","3,287","3,282","3,282","3,280","3,273","3,279","3,279",,"3,560","3,269","3,269","3,268","3,268","3,261","3,248","3,251","3,248","3,254","3,254","3,254","3,253","3,257","3,271"
Central Mississippi Correctional Facility,"4,131","3,677","3,654","3,651","3,685","3,689","3,690","3,690","3,657","3,653","3,664","3,699","3,718","3,718","3,716","3,675","3,685","3,707",,"4,131","3,725","3,754","3,754","3,757","3,782","3,796","3,796","3,805","3,785","3,785","3,785","3,783","3,795",3724
Youthful Offender Unit,58,33,34,34,34,34,34,34,34,32,30,30,31,31,31,30,30,32,,58,32,32,31,31,32,32,30,30,30,30,30,30,29,32
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,663","2,665","2,662","2,666","2,662","2,661","2,661","2,653","2,662","2,666","2,667","2,661","2,660","2,658","2,657","2,659","2,663",,"3,082","2,663","2,662","2,662","2,660","2,660","2,657","2,667","2,651","2,653","2,653","2,653","2,650","2,659",2660
County Jails,"1,793","1,357","1,325","1,335","1,335","1,361","1,239","1,361","1,385","1,395","1,364","1,366","1,383","1,383","1,383","1,409","1,414","1,419",,"1,793","1,410","1,396","1,396","1,396","1,378","1,349","1,350","1,372","1,406","1,406","1,406","1,406","1,396",1376
COMMUNITY WORK CENTERS,"1,372","1,092","1,079","1,087","1,078","1,077","1,091","1,067","1,087","1,087","1,094","1,093","1,078","1,077","1,070","1,063","1,073","1,067",,"1,372","1,069","1,057","1,052","1,047","1,063","1,061","1,074","1,070","1,068","1,067","1,063","1,056","1,045",1072
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,77,79,79,79,84,85,85,83,83,83,87,87,87,87,86,86,86,,124,86,86,86,86,86,88,88,87,85,85,85,87,87,85
Delta TVC,324,316,303,303,303,303,303,297,315,313,320,319,309,308,304,302,296,293,,324,291,288,284,279,291,290,306,304,303,303,300,294,291,301
Forrest Satellite Facility,96,59,59,59,50,72,85,72,65,68,65,67,67,67,67,67,66,66,,96,66,61,61,61,60,60,59,59,59,59,59,59,56,63
George Satellite Facility,102,73,73,75,74,49,49,49,49,49,52,51,50,50,50,51,50,47,,102,47,47,47,47,46,45,46,46,47,47,47,47,44,51
Harrison Satellite Facility,102,54,54,54,54,54,54,54,54,54,52,52,52,52,51,51,52,51,,102,51,49,49,49,50,50,48,47,47,47,47,47,44,51
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,68,70,70,67,66,66,66,67,67,70,70,70,70,70,70,70,69,,62,69,75,75,75,75,75,75,75,75,75,75,75,75,71
Noxubee Satellite Facility,58,48,48,48,49,48,48,48,48,48,47,47,47,47,47,46,46,46,,58,46,46,46,46,46,46,46,46,46,46,46,46,46,47
Pike Satellite Facility,93,71,71,78,80,79,79,79,86,86,86,83,83,83,83,83,80,80,,93,80,79,79,79,79,79,79,79,80,80,80,80,78,80
Quitman Satellite Facility,93,54,54,54,52,54,54,54,55,55,55,54,54,54,54,54,59,61,,93,62,62,62,62,62,61,61,61,59,59,59,59,58,57
Rankin Satellite Facility,178,160,159,159,162,160,160,160,162,162,162,161,160,160,159,158,163,163,,178,163,159,159,159,163,162,162,162,162,162,162,161,161,161
Rankin RID,28,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,,28,11,11,11,11,11,11,11,11,11,11,11,10,10,10
Flowood TVC,50,39,37,36,36,36,36,31,31,31,31,31,29,29,28,29,39,39,,50,39,39,38,38,38,38,38,38,38,37,36,35,39,35
Simpson TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,62,62,62,62,62,62,62,62,61,61,61,60,60,60,56,55,55,,62,58,55,55,55,56,56,55,55,56,56,56,56,56,58
