Location,Capacity_x,1-Feb-20,2-Feb-20,3-Feb-20,4-Feb-20,5-Feb-20,6-Feb-20,7-Feb-20,8-Feb-20,9-Feb-20,10-Feb-20,11-Feb-20,12-Feb-20,13-Feb-20,14-Feb-20,15-Feb-20,16-Feb-20,17-Feb-20,Capacity_y,18-Feb-20,19-Feb-20,20-Feb-20,21-Feb-20,22-Feb-20,23-Feb-20,24-Feb-20,25-Feb-20,26-Feb-20,27-Feb-20,28-Feb-20,29-Feb-20,Avg Population
Mississippi State Penitentiary,"3,560","2,738","2,737","2,740","2,721","2,717","2,713","2,715","2,714","2,713","2,709","2,677","2,668","2,642","2,639","2,638","2,638","2,637","3,560","2,637","2,583","2,482","2,432","2,432","2,430","2,357","2,357","2,285","2,305","2,203","2,202","2,568"
Central Mississippi Correctional Facility,"4,094","3,536","3,537","3,538","3,564","3,589","3,613","3,635","3,632","3,633","3,577","3,578","3,614","3,639","3,650","3,649","3,646","3,640","4,094","3,659","3,668","3,681","3,680","3,678","3,677","3,677","3,706","3,716","3,672","3,666","3,668",3635
Youthful Offender Unit,58,21,21,20,19,20,20,21,21,21,21,21,22,24,24,24,24,24,58,24,23,23,23,23,23,23,24,24,24,24,24,22
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,634","2,634","2,652","2,657","2,657","2,651","2,636","2,634","2,633","2,641","2,643","2,647","2,655","2,660","2,660","2,660","2,656","3,082","2,656","2,654","2,650","2,649","2,646","2,646","2,660","2,658","2,656","2,659","2,657","2,654",2650
County Jails,"1,793","1,428","1,428","1,400","1,375","1,376","1,359","1,340","1,340","1,340","1,377","1,363","1,318","1,289","1,282","1,282","1,282","1,287","1,793","1,277","1,280","1,269","1,277","1,277","1,277","1,286","1,258","1,247","1,224","1,291","1,291",1314
COMMUNITY WORK CENTERS,"1,372",812,812,813,808,806,802,772,764,764,777,766,764,761,756,756,754,766,"1,372",771,776,772,773,782,782,792,786,786,788,786,787,780
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,73,73,66,66,66,66,67,67,67,67,67,67,67,66,66,66,65,124,64,64,64,66,66,66,65,64,64,64,64,64,66
Delta TVC,324,153,153,148,146,141,140,137,132,132,133,129,128,128,145,145,143,136,324,135,142,141,152,161,160,169,165,163,163,162,161,146
Forrest Satellite Facility,96,51,51,52,51,51,51,47,46,46,48,48,49,48,43,43,43,47,96,55,55,54,52,52,52,53,53,54,53,50,52,50
George Satellite Facility,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Satellite Facility,102,35,35,38,38,37,37,35,35,35,36,35,36,36,34,34,34,35,102,35,34,34,40,40,40,40,40,40,40,40,40,37
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,71,71,69,69,68,69,66,66,66,62,64,64,63,57,57,57,62,62,64,60,60,61,61,61,61,61,61,60,62,62,63
Noxubee Satellite Facility,58,41,41,41,41,41,41,37,37,37,42,42,42,42,40,40,40,42,58,42,42,42,41,41,40,39,39,39,39,39,39,40
Pike Satellite Facility,93,75,75,82,82,81,80,76,76,76,77,76,76,76,80,80,80,82,93,82,81,81,72,72,72,76,76,76,76,77,77,78
Quitman Satellite Facility,93,67,67,72,71,79,74,69,69,69,77,77,77,77,71,71,71,73,93,72,74,74,72,72,72,69,70,72,71,71,71,72
Rankin Satellite Facility,178,151,151,150,150,150,149,147,147,147,146,141,141,141,139,139,139,141,178,140,141,141,136,136,136,139,139,139,139,136,136,142
Rankin SF (RRP),28,18,18,18,18,18,18,18,18,18,18,19,19,18,18,18,18,18,28,18,18,18,18,18,18,17,16,16,16,16,16,18
Flowood TVC,50,20,20,20,19,17,16,16,14,14,14,13,10,10,10,10,10,10,50,9,10,8,8,8,10,10,10,10,10,14,14,13
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,57,57,57,57,57,61,57,57,57,57,55,55,55,53,53,53,55,62,55,55,55,55,55,55,54,53,52,57,55,55,55
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,579","4,363","4,362","4,357","4,374","4,362","4,343","4,359","4,358","4,358","4,378","4,379","4,374","4,377","4,365","4,363","4,362","4,358","4,579","4,348","4,334","4,332","4,328","4,328","4,327","4,319","4,319","4,319","4,335","4,340","4,337",4350
