Location,Capacity_x,1-Mar-19,Unnamed: 3,2-Mar-19,3-Mar-19,4-Mar-19,5-Mar-19,6-Mar-19,7-Mar-19,8-Mar-19,9-Mar-19,10-Mar-19,11-Mar-19,12-Mar-19,13-Mar-19,14-Mar-19,15-Mar-19,16-Mar-19,17-Mar-19,Capacity_y,18-Mar-19,19-Mar-19,20-Mar-19,21-Mar-19,22-Mar-19,23-Mar-19,24-Mar-19,25-Mar-19,26-Mar-19,27-Mar-19,28-Mar-19,29-Mar-19,30-Mar-19,31-Mar-19,Avg Population
Mississippi State Penitentiary,"3,560","3,276","3,276","3,275","3,270","3,266","3,272","3,267","3,276","3,276","3,276","3,270","3,264","3,271","3,268","3,271","3,270","3,269",,"3,560","3,266","3,259","3,264","3,273","3,263","3,267","3,263","3,272","3,271","3,294","3,284","3,286","3,283","3,281","3,272"
Central Mississippi Correctional Facility,"4,131","3,636","3,635","3,637","3,662","3,677","3,645","3,664","3,772","3,670","3,669","3,697","3,631","3,631","3,668","3,665","3,665","3,666",,"4,131","3,645","3,634","3,634","3,605","3,622","3,622","3,622","3,616","3,609","3,608","3,616","3,640","3,640","3,640",3647
Youthful Offender Unit,58,34,35,35,35,36,35,35,35,34,34,34,33,31,32,32,32,32,,58,32,32,35,35,33,33,33,33,33,32,33,33,33,33,33
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,655","2,654","2,655","2,658","2,658","2,659","2,660","2,650","2,650","2,652","2,657","2,648","2,640","2,656","2,660","2,660","2,659",,"3,082","2,652","2,648","2,654","2,651","2,645","2,647","2,645","2,650","2,655","2,662","2,659","2,659","2,657","2,654",2654
County Jails,"1,793","1,395","1,395","1,395","1,416","1,403","1,407","1,420","1,384","1,384","1,384","1,204","1,422","1,409","1,398","1,393","1,393","1,393",,"1,793","1,382","1,393","1,393","1,414","1,425","1,425","1,425","1,415","1,403","1,410","1,388","1,389","1,389","1,389",1395
COMMUNITY WORK CENTERS,"1,372","1,069","1,067","1,065","1,083","1,079","1,080","1,087","1,097","1,094","1,083","1,088","1,079","1,086","1,075","1,056","1,050","1,047",,"1,372","1,061","1,353","1,057","1,042","1,051","1,047","1,048","1,080","1,071","1,094","1,109","1,129","1,095","1,082",1084
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,79,79,79,81,81,80,81,81,80,80,79,79,79,78,78,78,78,,124,78,78,77,78,77,77,77,77,77,77,77,77,77,77,78
Delta TVC,324,311,310,308,318,308,308,312,310,308,302,304,303,313,305,301,297,295,,324,296,292,300,300,300,297,298,312,305,318,313,312,312,303,306
Forrest Satellite Facility,96,60,60,60,60,60,59,59,57,57,57,57,55,55,55,52,52,52,,96,55,55,54,54,54,54,54,61,61,60,60,58,58,58,57
George Satellite Facility,102,75,75,75,75,73,75,75,75,75,75,75,74,74,74,71,71,71,,102,73,72,73,73,72,72,72,72,72,74,78,76,76,76,74
Harrison Satellite Facility,102,53,53,53,53,53,55,54,54,54,54,54,56,55,55,54,53,52,,102,53,52,51,51,50,50,50,51,51,57,55,54,54,54,53
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,68,67,67,69,68,68,69,68,68,68,68,69,69,69,66,66,66,,62,70,70,70,70,69,69,69,69,67,70,70,69,69,68,68
Noxubee Satellite Facility,58,46,46,46,46,49,49,49,52,52,52,52,51,50,50,50,50,50,,58,50,51,51,51,51,51,51,49,49,49,48,48,48,48,50
