Location,Capacity_x,1-Oct-17,Unnamed: 3,2-Oct-17,3-Oct-17,4-Oct-17,5-Oct-17,6-Oct-17,7-Oct-17,8-Oct-17,9-Oct-17,10-Oct-17,11-Oct-17,12-Oct-17,13-Oct-17,14-Oct-17,15-Oct-17,16-Oct-17,17-Oct-17,18-Oct-17,19-Oct-17,20-Oct-17,21-Oct-17,22-Oct-17,23-Oct-17,Capacity_y,24-Oct-17,25-Oct-17,26-Oct-17,27-Oct-17,28-Oct-17,29-Oct-17,30-Oct-17,31-Oct-17,Avg Population
Mississippi State Penitentiary,"3,590","3,322","3,339","3,329","3,319","3,314","3,336","3,334","3,334","3,329","3,277","3,262","3,278","3,289","3,288","3,287","3,300","3,294","3,267","3,294","3,319","3,319","3,318","3,342",,"3,590","3,369","3,393","3,387","3,382","3,382","3,382","3,362","3,356","3,325"
Central Mississippi Correctional Facility,"3,750","3,501","3,504","3,340","3,542","3,555","3,498","3,499","3,504","3,547","3,636","3,623","3,644","3,652","3,655","3,656","3,639","3,659","3,641","3,674","3,618","3,617","3,617","3,644",,"3,750","3,636","3,624","3,607","3,596","3,596","3,595","3,627","3,650",3592
Youthful Offender Unit,58,33,33,33,33,32,31,31,31,31,31,31,30,28,28,28,28,27,27,27,27,27,27,27,,58,27,27,28,28,28,28,28,28,29
CMCF TVC,0,26,28,28,26,26,17,17,17,17,17,23,24,28,28,28,28,28,28,17,25,25,25,25,,0,25,26,20,24,24,24,22,22,24
South Mississippi Correctional Institution,"3,082","3,048","3,043","3,038","3,043","3,034","3,044","3,040","3,041","3,041","2,992","3,002","2,960","2,882","2,882","2,882","2,839","2,819","2,807","2,745","2,705","2,705","2,704","2,376",,"3,082","2,665","2,643","2,631","2,614","2,615","2,614","2,601","2,595",2835
County Jails,"1,781","1,394","1,391","1,353","1,335","1,360","1,350","1,350","1,350","1,324","1,273","1,292","1,264","1,238","1,238","1,238","1,272","1,250","1,245","1,232","1,225","1,225","1,225","1,221",,"1,781","1,237","1,271","1,289","1,267","1,267","1,267","1,279","1,249",1284
COMMUNITY WORK CENTERS,"1,188",888,893,889,883,881,894,893,893,900,897,888,886,890,889,889,896,898,896,899,902,897,895,902,,"1,188",908,897,895,881,879,878,882,879,892
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Forrest Satellite Facility,96,64,64,64,64,64,63,92,92,63,63,63,62,60,60,60,61,70,60,60,59,59,59,60,,96,60,59,59,54,54,54,58,58,63
George Satellite Facility,102,70,70,71,71,71,72,102,102,72,72,73,72,70,70,70,72,72,72,72,70,70,70,72,,102,72,72,71,67,67,67,69,69,73
Harrison Satellite Facility,102,59,59,59,59,59,59,0,0,59,59,59,59,56,56,56,59,59,59,59,59,59,59,58,,102,60,60,59,57,57,57,58,57,55
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,70,70,66,65,65,77,76,76,76,75,68,68,80,80,80,79,77,74,74,76,73,73,73,,82,73,73,71,69,69,69,69,68,73
Leflore TVC Support,20,19,19,19,19,19,17,17,17,17,17,16,16,16,16,16,16,16,17,17,17,17,17,17,,20,17,17,17,16,16,16,15,15,17
Madison Satellite Facility,62,62,62,62,61,62,59,59,59,59,59,62,62,62,62,62,62,61,58,59,59,59,59,60,,62,60,60,61,58,57,57,56,56,60
Noxubee Satellite Facility,58,46,48,48,48,48,47,47,47,47,47,47,47,44,44,44,46,46,46,46,46,46,46,46,,58,46,46,46,45,45,45,46,46,46
Pike Satellite Facility,93,71,72,72,72,72,71,71,71,72,74,73,73,73,73,73,73,73,75,75,73,73,73,74,,93,74,74,74,74,74,74,74,74,73
Quitman Satellite Facility,93,47,47,47,46,45,43,43,43,44,45,45,45,45,45,45,40,40,44,44,44,44,44,45,,93,47,41,42,42,42,41,45,46,44
