Location,Capacity_x,1-Feb-17,2-Feb-17,3-Feb-17,4-Feb-17,5-Feb-17,6-Feb-17,7-Feb-17,8-Feb-17,9-Feb-17,10-Feb-17,Capacity_y,11-Feb-17,12-Feb-17,13-Feb-17,14-Feb-17,15-Feb-17,16-Feb-17,17-Feb-17,18-Feb-17,19-Feb-17,20-Feb-17,21-Feb-17,Capacity,22-Feb-17,23-Feb-17,24-Feb-17,25-Feb-17,26-Feb-17,27-Feb-17,28-Feb-17 Avg Population,Unnamed: 9
Mississippi State Penitentiary,3590,3378,3382,3371,3367,3367,3376,3365,3368,3361,3368,3590,3365,3365,"3,357",3364,3359,3346,3353,3352,3352,3348,3353,3590,3349,3341,3350,"3,349","3,349","3,356","3,354",3367
Youthful Offender Unit,58,25,26,25,25,25,25,25,25,25,26,58,26,26,25,25,25,26,26,26,26,26,26,58,26,27,27,27,27,27,27,27
CMCF TVC,,10,11,7,7,7,6,6,6,6,3,,3,3,3,3,3,5,14,14,14,14,14,,14,14,28,28,28,28,23,12
County Jails,"1,781","1,260","1,318","1,321","1,321","1,321","1,287","1,269","1,320","1,332","1,360","1,781","1,360","1,360","1,369","1,368","1,368","1,390","1,411","1,411","1,411","1,416","1,424","1,781","1,428","1,418","1,399","1,399","1,399","1,380","1,370",1378
COMMUNITY WORK CENTERS,"1,348",931,931,940,931,931,951,945,945,940,955,"1,348",953,952,960,953,954,962,970,965,963,976,973,"1,348",965,963,963,962,960,975,970,969
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Satellite Facility,96,61,63,57,57,57,62,61,64,63,59,96,59,59,61,61,60,60,59,59,59,59,59,96,59,58,56,56,56,58,57,61
George Satellite Facility,102,70,69,66,66,66,71,71,71,71,69,102,69,69,69,69,65,66,64,64,64,66,66,102,66,66,63,63,63,66,66,68
Harrison Satellite Facility,102,53,53,52,52,52,52,52,61,60,59,102,59,59,59,59,65,64,62,62,62,66,66,102,66,66,64,64,64,66,66,62
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,57,57,63,59,59,59,58,57,58,68,82,67,66,65,64,59,58,68,67,66,65,63,82,61,60,68,67,67,65,62,63
Leflore TVC Support,20,7,7,6,6,6,6,5,5,5,5,20,5,5,5,6,6,6,6,6,6,6,8,20,8,6,5,5,5,6,6,6
Madison Satellite Facility,102,68,74,75,75,75,75,75,74,73,76,102,76,76,77,77,75,78,78,78,78,78,78,102,74,74,72,72,72,73,73,76
Noxubee Satellite Facility,92,86,86,86,86,86,88,88,88,89,88,92,88,88,89,89,89,90,87,87,87,90,90,92,90,89,89,89,89,89,89,88
Pike Satellite Facility,93,86,86,86,86,86,87,88,79,79,78,93,78,78,80,80,80,80,77,77,77,79,79,93,81,83,82,82,82,83,83,82
Quitman Satellite Facility,93,63,63,66,65,65,65,65,64,65,62,93,62,62,65,64,64,69,68,68,68,68,68,93,67,67,66,66,66,64,64,66
