Location,Capacity_x,1-Oct-04,2-Oct-04,3-Oct-04,4-Oct-04,5-Oct-04,6-Oct-04,7-Oct-04,8-Oct-04,9-Oct-04,10-Oct-04,11-Oct-04,12-Oct-04,13-Oct-04,14-Oct-04,15-Oct-04,16-Oct-04,17-Oct-04,18-Oct-04,Capacity_y,19-Oct-04,20-Oct-04,21-Oct-04,22-Oct-04,23-Oct-04,24-Oct-04,25-Oct-04,26-Oct-04,27-Oct-04,28-Oct-04,29-Oct-04,30-Oct-04,31-Oct-04
MS STATE PENITENTIARY,"4,760","4,800","4,798","4,796","4,793","4,817","4,811","4,838","4,785","4,785","4,785","4,778","4,774","4,781","4,773","4,770","4,769","4,767","4,771","4,760","4,781","4,773","4,793","4,784","4,779","4,778","4,715","4,741","4,724","4,729","4,718","4,713","4,708"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,192","3,190","3,190","3,188","3,162","3,171","3,147","3,117","3,116","3,117","3,132","3,145","3,137","3,139","3,133","3,134","3,132","3,135","3,233","3,135","3,161","3,148","3,140","3,137","3,135","3,165","3,174","3,188","3,173","3,162","3,160","3,159"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,162","2,158","2,158","2,164","2,152","2,183","2,179","2,196","2,192","2,192","2,189","2,183","2,174","2,188","2,180","2,180","2,178","2,179","2,214","2,181","2,189","2,189","2,183","2,180","2,180","2,174","2,173","2,169","2,156","2,163","2,169","2,168"
COUNTY JAILS,"2,203","2,041","2,041","2,041","2,027","2,032","2,004","1,995","1,993","1,993","1,993","1,991","1,981","1,990","2,013","2,022","2,022","2,022","2,005","2,203","2,018","2,000","2,001","2,007","2,007","2,007","1,986","1,966","1,946","1,951","1,949","1,949","1,949"
COMMUNITY WORK CENTERS,"1,816","1,670","1,667","1,669","1,702","1,704","1,702","1,697","1,676","1,670","1,668","1,713","1,720","1,715","1,705","1,664","1,661","1,660","1,705","1,816","1,694","1,695","1,698","1,639","1,639","1,640","1,697","1,696","1,710","1,714","1,681","1,679","1,678"
Alcorn Satellite Facility,92,88,88,88,90,92,92,90,83,83,83,91,90,89,89,83,83,82,88,92,92,92,92,90,90,90,92,92,92,92,87,87,87
Bolivar Satellite Facility,102,99,99,99,101,101,98,97,93,93,93,97,97,97,96,91,91,91,96,102,96,96,96,86,86,86,95,95,101,101,100,100,100
Forrest Satellite Facility,96,91,92,92,94,93,92,92,88,88,89,92,91,91,90,91,91,91,93,96,92,93,95,89,89,89,95,94,94,94,92,92,92
George Satellite Facility,102,96,96,96,102,101,101,101,102,102,102,100,100,97,97,95,95,95,100,102,99,98,96,93,93,93,95,96,96,96,95,95,95
Harrison Satellite Facility,102,97,97,97,97,97,102,102,98,97,97,101,101,101,101,100,100,100,100,102,88,88,88,87,87,87,87,87,92,93,92,92,92
