Location,Capacity_x,1-Apr-18,Unnamed: 3,2-Apr-18,3-Apr-18,4-Apr-18,5-Apr-18,6-Apr-18,7-Apr-18,8-Apr-18,9-Apr-18,10-Apr-18,11-Apr-18,12-Apr-18,13-Apr-18,14-Apr-18,15-Apr-18,16-Apr-18,17-Apr-18,Capacity_y,18-Apr-18,19-Apr-18,20-Apr-18,21-Apr-18,22-Apr-18,23-Apr-18,24-Apr-18,25-Apr-18,26-Apr-18,27-Apr-18,28-Apr-18,29-Apr-18,30-Apr-18,Avg Population
Mississippi State Penitentiary,"3,590","3,381","3,392","3,389","3,404","3,402","3,403","3,403","3,402","3,387","3,406","3,405","3,404","3,408","3,406","3,404","3,398","3,419",,"3,590","3,444","3,442","3,428","3,427","3,424","3,434","3,429","3,428","3,417","3,390","3,388","3,388","3,386","3,408"
Central Mississippi Correctional Facility,"3,920","3,575","3,599","3,648","3,623","3,369","3,674","3,673","3,671","3,714","3,754","3,754","3,778","3,703","3,697","3,697","3,704","3,739",,"3,920","3,752","3,734","3,738","3,739","3,738","3,766","3,791","3,723","3,756","3,745","3,745","3,745","3,742","3,703"
Youthful Offender Unit,58,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,33,32,,58,32,32,32,32,32,32,32,32,32,32,32,32,32,32
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,652","2,659","2,660","2,664","2,657","2,661","2,661","2,660","2,660","2,665","2,714","2,765","2,822","2,819","2,819","2,852","2,901",,"3,082","2,914","2,952","2,977","2,977","2,976","2,974","2,970","3,031","3,025","3,045","3,045","3,044","3,045","2,842"
County Jails,"1,781","1,274","1,265","1,257","1,266","1,229","1,211","1,211","1,211","1,217","1,207","1,234","1,212","1,295","1,295","1,295","1,280","1,281",,"1,781","1,258","1,255","1,267","1,267","1,267","1,268","1,222","1,216","1,222","1,213","1,213","1,213","1,215",1245
COMMUNITY WORK CENTERS,"1,488",746,746,775,789,808,808,809,807,810,799,793,794,814,814,814,824,818,,"1,488",825,826,827,837,836,829,821,821,824,842,842,842,844,813
Alcorn Satellite Facility (closed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility (closed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,0,0,53,66,19,68,68,68,68,68,67,67,65,64,64,64,63,63,,0,63,63,52,62,62,63,63,63,63,62,62,62,64,60
Delta TVC,300,0,0,19,84,82,84,84,84,84,78,76,75,99,99,99,98,97,,300,96,96,108,108,108,102,93,93,91,110,110,110,107,86
Forrest Satellite Facility,96,61,61,61,59,59,59,59,59,59,59,58,58,57,57,57,58,58,,96,65,65,64,64,64,63,63,63,64,64,64,64,64,61
George Satellite Facility,102,67,68,67,67,68,67,67,67,68,68,69,69,69,69,69,69,69,,102,69,69,69,69,69,68,68,68,68,68,68,68,67,68
Harrison Satellite Facility,102,56,56,56,55,56,54,55,54,56,55,55,55,55,55,55,55,54,,102,57,57,57,57,57,57,57,57,57,57,57,57,57,56
Jackson Satellite Facility (closed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility (closed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC (closed),82,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leflore TVC Support (closed),20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Madison Satellite Facility,62,60,59,59,59,59,58,58,58,59,59,60,62,60,60,60,61,61,,62,61,61,61,61,61,60,58,58,59,58,58,58,59,60
Noxubee Satellite Facility,58,50,50,50,50,50,50,50,50,49,49,49,47,46,46,46,47,46,,58,43,43,46,46,45,45,45,45,47,46,46,46,46,47
Pike Satellite Facility,93,80,80,80,80,80,80,80,80,80,80,76,76,74,74,74,81,81,,93,79,79,79,79,79,76,75,75,75,78,78,78,78,78
Quitman Satellite Facility,93,45,45,45,46,46,44,44,44,45,44,45,50,50,50,50,50,49,,93,51,51,50,50,50,50,58,58,58,54,54,54,54,49
Rankin Satellite Facility,178,142,142,142,142,141,140,140,140,141,140,139,139,142,142,142,146,146,,178,145,145,144,144,144,145,145,145,145,145,145,145,148,143
Rankin RID,28,28,28,27,26,26,26,26,26,26,26,26,25,25,25,25,21,21,,28,24,24,24,24,24,23,23,23,23,25,25,25,25,25
Flowood TVC,50,14,14,14,13,27,27,27,27,27,26,25,25,25,25,25,25,23,,50,23,22,22,22,22,26,22,22,22,23,23,23,23,23
Simpson TVC (closed),82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support (closed),20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,60,43,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Wilkinson Satellite Facility,62,46,47,46,46,46,51,51,50,48,48,48,48,48,48,48,50,50,,62,49,51,51,51,51,51,51,51,52,52,52,52,52,50
Yazoo Satellite Facility (closed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,556","4,283","4,268","4,230","4,207","4,190","4,175","4,172","4,169","4,167","4,134","4,074","4,008","3,963","3,963","3,963","3,917","3,844",,"4,556","3,817","3,810","3,781","3,780","3,780","3,773","3,770","3,811","3,815","3,817","3,814","3,813","3,806","3,970"
Alcorn County,300,292,292,291,291,290,289,289,289,287,287,287,275,274,274,274,273,272,,300,269,269,261,261,261,261,260,260,260,260,260,260,259,274
Bolivar County,369,290,287,285,285,280,278,277,277,287,287,286,293,291,291,291,290,293,,369,294,294,294,294,294,294,294,294,294,294,294,294,294,290
Carroll County,280,269,269,268,268,265,265,264,264,263,253,251,251,251,251,251,250,250,,280,250,250,248,247,247,247,247,247,257,255,255,255,254,255
