Location,Capacity_x,1-Mar-20,2-Mar-20,3-Mar-20,4-Mar-20,5-Mar-20,6-Mar-20,7-Mar-20,8-Mar-20,9-Mar-20,10-Mar-20,11-Mar-20,12-Mar-20,13-Mar-20,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,Capacity_y,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,Avg Population
Mississippi State Penitentiary,"3,560","2,200","2,172","2,170","2,157","2,147","2,144","2,144","2,143","2,157","2,153","2,155","2,145","2,142","2,137","2,136","2,132","2,132","3,560","2,131","2,125","2,122","2,122","2,122","2,120","2,119","2,111","2,108","2,107","2,107","2,106","2,104","2,100","2,135"
Central Mississippi Correctional Facility,"4,094","3,669","3,680","3,682","3,694","3,708","3,729","3,732","3,733","3,705","3,735","3,741","3,756","3,754","3,753","3,753","3,751","3,751","4,094","3,744","3,728","3,724","3,723","3,723","3,721","3,715","3,701","3,700","3,701","3,698","3,697","3,691","3,665",3718
Youthful Offender Unit,58,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,22,58,22,22,22,22,22,22,22,22,22,22,21,20,20,20,23
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,654","2,655","2,657","2,653","2,655","2,652","2,651","2,652","2,649","2,649","2,649","2,655","2,656","2,656","2,656","2,653","2,653","3,082","2,653","2,647","2,647","2,644","2,643","2,637","2,632","2,627","2,626","2,624","2,624","2,624","2,621","2,615",2644
County Jails,"1,793","1,291","1,291","1,244","1,240","1,235","1,251","1,251","1,251","1,261","1,255","1,207","1,197","1,202","1,202","1,202","1,214","1,214","1,793","1,232","1,269","1,275","1,207","1,275","1,287","1,296","1,309","1,323","1,346","1,346","1,246","1,346","1,350",1262
COMMUNITY WORK CENTERS,"1,372",776,805,815,810,804,792,788,788,793,790,797,794,785,785,784,779,779,"1,372",772,765,759,757,756,752,748,742,737,735,734,732,726,723,771
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,64,64,63,62,61,59,59,59,61,58,58,59,65,65,65,64,64,124,63,63,63,63,63,62,62,62,62,62,62,62,62,62,62
