Location,Capacity_x,1-May-20,2-May-20,3-May-20,4-May-20,5-May-20,6-May-20,7-May-20,8-May-20,9-May-20,10-May-20,11-May-20,12-May-20,13-May-20,14-May-20,15-May-20,16-May-20,17-May-20,Capacity_y,18-May-20,19-May-20,20-May-20,21-May-20,22-May-20,23-May-20,24-May-20,25-May-20,26-May-20,27-May-20,28-May-20,29-May-20,30-May-20,31-May-20 Avg Population,Unnamed: 16
Mississippi State Penitentiary,"3,560","2,051","2,049","2,048","2,046","2,037","2,037","2,034","2,033","2,032","2,032","2,031","2,028","2,029","2,032","2,029","2,028","2,027","3,560","2,021","2,021","2,019","2,018","2,017","2,017","2,016","2,015","2,011","2,016","2,017","2,012","2,012","2,010","2,027"
Central Mississippi Correctional Facility,"4,094","3,454","3,453","3,449","3,439","3,425","3,432","3,449","3,447","3,448","3,447","3,536","3,423","3,406","3,404","3,401","3,399","3,399","4,094","3,392","3,380","3,366","3,365","3,362","3,359","3,359","3,359","3,354","3,342","3,330","3,321","3,320","3,319",3398
Youthful Offender Unit,58,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,58,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,539","2,536","2,535","2,525","2,514","2,512","2,506","2,506","2,505","2,505","2,498","2,497","2,490","2,488","2,486","2,486","2,485","3,082","2,483","2,484","2,481","2,479","2,478","2,478","2,478","2,478","2,478","2,472","2,467","2,458","2,457","2,457",2492
County Jails,"1,793","1,482","1,482","1,482","1,492","1,492","1,479","1,436","1,440","1,440","1,440","1,452","1,472","1,475","1,460","1,470","1,470","1,470","1,793","1,480","1,489","1,501","1,497","1,508","1,508","1,508","1,508","1,508","1,522","1,529","1,541","1,541","1,541",1488
COMMUNITY WORK CENTERS,"1,372",552,551,551,549,543,536,534,532,532,530,530,528,528,527,524,525,524,"1,372",529,528,523,520,518,516,516,516,513,510,509,510,510,510,526
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,61,61,61,61,61,61,60,60,60,60,60,60,60,60,90,90,90,124,90,90,90,97,97,97,97,97,88,88,88,96,96,96,78
Delta TVC,324,15,15,14,13,11,11,11,10,10,8,8,7,7,7,7,7,7,324,7,7,7,6,5,5,5,5,5,4,4,4,4,4,8
Forrest Satellite Facility,96,73,73,73,73,73,73,73,73,73,73,73,73,73,73,71,71,71,96,80,80,80,71,71,71,71,71,71,71,71,72,72,72,73
George Satellite Facility,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Satellite Facility,102,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,53,53,53,53,53,51,51,50,50,50,50,50,50,49,49,49,49,62,46,46,46,47,46,45,45,45,53,52,52,44,44,44,49
Noxubee Satellite Facility,58,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,58,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37
Pike Satellite Facility,93,84,84,84,83,80,80,80,80,80,80,80,80,80,80,79,79,79,93,78,77,74,74,74,73,73,73,73,73,73,73,73,73,78
Quitman Satellite Facility,93,52,51,52,52,51,48,48,48,48,48,48,48,48,48,48,49,48,93,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
Rankin Satellite Facility,178,136,136,136,136,136,134,133,133,133,133,133,132,132,132,132,132,132,178,132,132,130,129,129,129,129,129,128,128,127,127,127,127,131
Rankin Satellite Facility (RRP),28,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,11,11,11,11,11,11,11,11,10,9,9,9,9,9,11
Flowood TVC,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,579","4,114","4,113","4,111","4,103","4,098","4,091","4,082","4,077","4,077","4,077","4,074","4,068","4,060","4,055","4,042","4,041","4,041","4,579","4,038","4,033","4,026","4,022","4,017","4,015","4,015","4,013","4,006","3,999","4,002","3,991","3,991","3,990",4048
Alcorn County,300,286,286,286,286,286,286,284,284,284,284,284,284,284,284,283,283,283,300,282,282,281,281,281,281,281,281,281,281,288,288,288,288,284
Bolivar County,369,280,280,279,279,279,279,279,278,278,278,278,278,277,274,272,272,272,369,272,272,271,271,270,269,269,269,269,269,268,266,266,266,274
Carroll County,280,256,256,256,253,253,253,253,253,253,253,253,252,251,251,251,251,251,280,251,250,251,250,250,249,249,249,248,248,248,247,247,247,251
Chickasaw County,310,299,299,299,299,298,297,296,296,296,296,296,296,295,295,294,294,294,310,295,295,295,295,295,295,295,295,295,295,295,295,295,295,296
George County,342,322,322,322,322,322,321,320,320,320,320,319,318,317,317,316,315,315,342,315,315,315,315,315,315,315,314,313,312,311,311,311,311,317
Holmes County,280,262,262,262,262,262,262,262,261,261,261,261,261,261,261,259,259,259,280,259,259,259,259,259,259,259,259,259,257,257,257,257,257,260
Issaquena County,297,301,300,300,299,298,297,296,296,296,296,296,296,295,294,292,292,292,297,291,291,290,289,289,289,289,289,289,288,288,287,287,287,293
Jefferson County,280,260,260,260,260,260,260,259,259,259,259,259,259,259,259,259,259,259,280,259,258,258,258,258,258,258,258,256,255,254,254,254,254,258
Kemper County,355,306,306,306,305,305,302,302,301,301,301,301,300,300,300,300,300,300,355,300,300,299,299,299,299,299,299,298,297,296,294,294,294,300
Leake County,280,246,246,246,243,243,243,241,241,241,241,241,240,238,237,237,237,237,280,237,235,235,235,234,234,234,234,234,234,234,234,234,234,238
Marion County,280,376,376,376,376,374,374,374,372,372,372,372,372,372,372,371,371,371,280,370,370,370,370,369,369,369,369,369,368,368,368,368,368,371
